q,Kc,Kw,seed,arm,n,m,full,df_C,df_W,I,P,C,W
4,8,2,29,real,2897,14,0.3232164330704801,112,5822,0.23917844131672403,0.05004138022195266,0.060181877719105645,-0.02618526618730225
4,8,4,11,real,2897,14,0.3265186833017062,112,11644,0.2509927904399224,0.05392913806497922,0.05320988359499335,-0.03161312879818883
4,8,4,29,real,2897,14,0.30316732742368513,112,11644,0.24239390778373032,0.04895347316616875,0.055631259373533956,-0.04381131289974791
7,1,0,11,perm,1289,10,0.1879682334525543,10,0,0.09744461343349947,0.09016610508119227,0.0003575149378625686,0.0
7,1,0,29,perm,1289,10,0.1855796545066406,10,0,0.08106438628137998,0.1019018120053354,0.0026134562199252214,0.0
7,1,0,11,real,1289,10,0.24055730242663598,10,0,0.09741097656172122,0.09382102801438415,0.049325297850530594,0.0
7,1,0,29,real,1289,10,0.21334777341854705,10,0,0.08175812729301966,0.10638729304691877,0.02520235307860861,0.0
7,1,1,11,real,1289,10,0.3039696427515586,10,1299,0.09790967206073557,0.11440929755884245,0.031544654280790826,0.060106018851189706
7,1,1,29,real,1289,10,0.2834517575491633,10,1299,0.08496591819768382,0.12923812893204054,0.009613284164589796,0.05963442625484915
7,1,2,11,real,1289,10,0.29507542567349865,10,2598,0.09519131223158885,0.12086947138953595,0.03285505333875264,0.04615958871362119
7,1,2,29,real,1289,10,0.2669288186180506,10,2598,0.08237511054434504,0.13283605280204852,0.010463055010457255,0.0412546002611998
7,1,4,11,real,1289,10,0.19783254187650534,10,5196,0.09524579576447637,0.1331371244250939,0.03376136993172941,-0.06431174824479434
7,1,4,29,real,1289,10,0.15447650324573825,10,5196,0.08178999388295127,0.13630786161495564,0.012950632764487685,-0.07657198501665632
7,2,0,11,perm,1289,10,0.18910971256344022,20,0,0.09711522070154423,0.09055942615643738,0.001435065705458612,0.0
7,2,0,29,perm,1289,10,0.18493597641636983,20,0,0.08104792859384022,0.10193225164256339,0.0019557961799662,0.0
7,2,0,11,real,1289,10,0.2653348325681649,20,0,0.09758860054684478,0.09802372472223682,0.06972250729908332,0.0
7,2,0,29,real,1289,10,0.2426244531157702,20,0,0.08280124761172367,0.10862661992016422,0.051196585583882306,0.0
7,2,1,11,real,1289,10,0.3016054764921574,20,1299,0.09770347413824683,0.12006523720546887,0.03783630501329776,0.04600046013514393
7,2,1,29,real,1289,10,0.285206643824473,20,1299,0.08575778718733125,0.1311811630526974,0.02212039199972935,0.04614730158471501
7,2,2,11,real,1289,10,0.2969529812607308,20,2598,0.09546951015909973,0.1255641477108904,0.04150599873221241,0.03441332465852823
7,2,2,29,real,1289,10,0.27411397469859333,20,2598,0.08419854096938476,0.13420768887473375,0.025455216054502978,0.03025252879997183
7,2,4,11,real,1289,10,0.2010113799189388,20,5196,0.09522224833654783,0.1377596744929841,0.043249892357241665,-0.07522043526783481
7,2,4,29,real,1289,10,0.17009527551312797,20,5196,0.08318193232690319,0.1376826911577986,0.03237375115742195,-0.08314309912899577
7,4,0,11,perm,1289,10,0.18834564579800694,40,0,0.09691288853104629,0.09054586967430811,0.000886887592652541,0.0
7,4,0,29,perm,1289,10,0.1838767641989395,40,0,0.08129563795199779,0.10233832693122158,0.00024279931572013247,0.0
7,4,0,11,real,1289,10,0.2735231686577464,40,0,0.09745993439229925,0.09868492953429474,0.0773783047311524,0.0
7,4,0,29,real,1289,10,0.2572677751376601,40,0,0.08284698566620965,0.10813827082203704,0.0662825186494134,0.0
7,4,1,11,real,1289,10,0.3025259218400651,40,1299,0.0974046455398155,0.12042919260779703,0.042091863001337756,0.04260022069111483
7,4,1,29,real,1289,10,0.29193783018303043,40,1299,0.0853903519220542,0.1309608831851365,0.03332280927819259,0.04226378579764717
7,4,2,11,real,1289,10,0.29866408201444294,40,2598,0.09547746865916353,0.12558012916310993,0.04617747784896136,0.03142900634320811
7,4,2,29,real,1289,10,0.28111343944986333,40,2598,0.08404193005763376,0.13420657535573244,0.03657677717827969,0.026288156858217455
7,4,4,11,real,1289,10,0.20560767882508957,40,5196,0.09547894572657359,0.13716579572482335,0.04954453121541908,-0.07658159384172647
7,4,4,29,real,1289,10,0.17918184280977756,40,5196,0.08339811146074083,0.13772186683479276,0.04433232393309638,-0.08627045941885242
7,8,0,11,perm,1289,10,0.18509319524884982,80,0,0.09687806784826473,0.09177283103687739,-0.0035577036362923193,0.0
7,8,0,29,perm,1289,10,0.1826217156249419,80,0,0.08118612545285188,0.10198033942253244,-0.0005447492504424372,0.0
7,8,0,11,real,1289,10,0.29237981569694393,80,0,0.09757978417639847,0.10069095562267168,0.09410907589787378,0.0
7,8,0,29,real,1289,10,0.26718038205802563,80,0,0.08277709247996921,0.11249643406651258,0.07190685551154383,0.0
7,8,1,11,real,1289,10,0.30852939268850876,80,1299,0.09802917698527047,0.1222229619136141,0.05224983363328423,0.03602742015633994
7,8,1,29,real,1289,10,0.2906184246326253,80,1299,0.08555261842252994,0.1339944131327254,0.03387737671002293,0.037194016367347066
7,8,2,11,real,1289,10,0.3066698814977349,80,2598,0.09569073915836482,0.12724543254541354,0.05760647623321556,0.026127233560740943
7,8,2,29,real,1289,10,0.2800786548710529,80,2598,0.08410793190488167,0.13700046204853372,0.03744160904991507,0.021528651867722404
7,8,4,11,real,1289,10,0.21239866996005197,80,5196,0.09555727925448022,0.13801131463952693,0.06084348614495587,-0.08201341007891105
7,8,4,29,real,1289,10,0.1798904796567884,80,5196,0.08307187072915048,0.14123552819582985,0.045905100472943654,-0.09032201974113557
8,1,0,11,perm,1468,10,0.21996934730538187,10,0,0.13299591490624993,0.08836431661469515,-0.0013908842155632335,0.0
8,1,0,29,perm,1468,10,0.24608455996000222,10,0,0.12652640628709116,0.11879170178778688,0.0007664518851241605,0.0
8,1,0,11,real,1468,10,0.22518700951489523,10,0,0.13301832910239847,0.09012390675117814,0.0020447736613186107,0.0
8,1,0,29,real,1468,10,0.24801850413130577,10,0,0.1260393820596582,0.11950158438778369,0.002477537683863884,0.0
8,1,1,11,real,1468,10,0.18012934112216195,10,1478,0.1298717938068676,0.09960859451622492,0.0024070236080812137,-0.05175807080901183
8,1,1,29,real,1468,10,0.20944872061982123,10,1478,0.12520701836383166,0.12652177484655905,0.002813096213751448,-0.04509316880432093
8,1,2,11,real,1468,10,0.156432670762925,10,2956,0.12937763698691904,0.11139974686155026,0.0023586512583504693,-0.08670336434389478
8,1,2,29,real,1468,10,0.18546636725078047,10,2956,0.1239268358139477,0.14292708540217264,0.002806067593455317,-0.08419362155879517
8,1,4,11,real,1468,10,0.15595124864038679,10,5912,0.13183847877769267,0.12052917619593544,0.0014321400225113243,-0.09784854635575266
8,1,4,29,real,1468,10,0.17369629729625258,10,5912,0.12313422275897747,0.14919797407340463,0.0028117547581843942,-0.10144765429431392
8,2,0,11,perm,1468,10,0.220296413127952,20,0,0.13294514553745673,0.08829329424333705,-0.0009420266528418022,0.0
8,2,0,29,perm,1468,10,0.24539885247408144,20,0,0.12646940400945744,0.11909864151822469,-0.00016919305360069137,0.0
8,2,0,11,real,1468,10,0.2357819753753534,20,0,0.13312059156539258,0.09006829014399172,0.012593093665969075,0.0
8,2,0,29,real,1468,10,0.2552191713234392,20,0,0.12601889198624028,0.1200889309159814,0.009111348421217486,0.0
8,2,1,11,real,1468,10,0.19145240949062692,20,1478,0.13003509853960907,0.09928174037721917,0.013424492497771093,-0.05128892192397242
8,2,1,29,real,1468,10,0.21507818083903174,20,1478,0.12522814754360606,0.12686755818961087,0.008761275430620385,-0.0457788003248056
8,2,2,11,real,1468,10,0.16114487235697517,20,2956,0.12982561663713477,0.11102437448733267,0.00995260841970172,-0.089657727187194
