a,b,kind,n,gap,first,bal,e
6,13,cross,484,4.596074380165289,12.955578512396695,0.38016528925619836,-0.08121908213573287
23,26,cross,865,4.778612716763006,13.856069364161849,0.3086705202312139,-0.03437701953218516
3,30,cross,5375,4.513395348837209,11.99293023255814,0.30604651162790697,-0.006268105380816569
4,23,cross,1629,4.665438919582566,13.762430939226519,0.2694904849600982,-0.03195098246698184
6,11,same,1150,4.6060869565217395,13.49391304347826,0.4165217391304348,0.022756361952225284
22,30,cross,2519,5.518261214767765,12.254863040889242,0.15323541087733228,-0.016073197225670393
2,23,cross,1385,4.734296028880866,13.945848375451263,0.3371841155234657,-0.013525967833167878
2,6,cross,1101,4.65258855585831,13.777929155313352,0.42325158946412356,-0.015052205117891921
12,15,same,874,5.15675057208238,13.296910755148742,0.26544622425629294,-0.018852866448074657
14,15,cross,1047,4.7979942693409745,13.726361031518625,0.2340019102196753,-0.030401732016586986
1,23,cross,1072,5.799906716417911,12.385261194029852,0.18563432835820892,-0.029055702220608066
11,20,cross,1890,5.0095238095238095,12.795767195767196,0.36137566137566135,-0.012013059306487994
6,14,cross,1100,4.668181818181818,13.376363636363637,0.25727272727272726,-0.0231501183600617
12,14,cross,1269,3.94602048857368,13.10835303388495,0.4720252167060678,-0.025859672675360306
8,11,same,2999,4.307102367455818,13.778592864288097,0.3454484828276092,0.0011878455098081053
3,9,same,1052,4.38212927756654,12.349334600760455,0.3992395437262357,-0.0264976487991489
5,11,same,2534,4.617403314917127,13.917521704814522,0.494475138121547,0.0076079335809637145
13,30,same,2152,4.976301115241636,12.29182156133829,0.21050185873605948,-0.03712771537460704
14,20,same,1626,4.640528905289053,12.625153751537516,0.44341943419434193,-0.02718765118108246
23,29,cross,1626,5.937269372693727,12.28659286592866,0.15375153751537515,-0.05919228861450332
6,29,cross,1339,5.5164301717699775,12.413741598207618,0.17475728155339806,-0.03262538562800269
9,14,cross,997,4.264794383149448,12.662988966900702,0.4744232698094283,-0.028735418294205707
6,16,cross,463,4.735421166306695,13.659827213822894,0.4643628509719222,0.009639896126789244
20,22,cross,919,5.317192600652883,12.417301414581067,0.2665941240478781,-0.0326807331450877
3,17,cross,3127,4.662935721138472,13.15893827950112,0.2986888391429485,-0.007788012978304411
10,18,cross,592,4.5329391891891895,13.364864864864865,0.4391891891891892,-0.041383251391959294
4,20,same,2201,4.858246251703771,12.825988187187642,0.3952748750567924,-0.005713207942736257
13,26,same,949,4.2038988408851425,13.545310853530031,0.42149631190727077,-0.03584730366537301
13,15,cross,620,4.820967741935484,13.629032258064516,0.30483870967741933,0.002706387266686353
6,22,same,618,4.568770226537217,13.418284789644012,0.49029126213592233,0.026770131346052644
2,15,cross,1289,5.049650892164468,14.251357641582622,0.39875872769588827,-0.006793456457058015
29,30,same,6548,4.655314599877825,11.781612706169822,0.45983506414172265,0.0182551493749669
