q,world,est,arm,seed,brier_I,brier_P,brier_C,brier_W,brier_full,logloss_I,logloss_P,logloss_C,logloss_W,logloss_full,l1_I,l1_P,l1_C,l1_W,l1_full
17,real,ls,real,29,0.17287035272799461,0.02392752286825639,0.005057767287306836,-0.2091886126947089,-0.007332969811151058,0.20858715409976214,-0.013285664232175656,0.007703013953460652,-0.6974846587472013,-0.49448015492615416,0.166170660124661,0.05025746976996009,0.007654785772340253,0.023127719090470962,0.24721063475743232
17,real,ls,perm,29,0.17269586985399518,0.022784087511079167,-0.003388388246038894,-0.2088133010927875,-0.01672173197375204,0.1994136425623112,-0.008765293154449315,-0.003520845523496981,-0.7010966764452381,-0.5139691725608733,0.16603112964140485,0.05003317814447663,-0.0014342226212763856,0.026081980399687957,0.24071206556429303
17,real,ls,real,47,0.1697536539515234,0.013796877834111005,0.012526923555727135,-0.2826297506149662,-0.08655229527360464,0.20143483317271976,0.0026053195722534964,0.014245212471278523,-0.8102939216960943,-0.5920085564798425,0.17066442603227755,0.04897011550176543,0.009472512886577023,-0.005053713442298269,0.22405334097832175
17,real,ls,perm,47,0.17040141889918128,0.014249138785950494,-0.0029789677405063497,-0.2782159264227379,-0.09654433647811245,0.20218781000389419,-0.0019835716047448965,0.0004867448318630343,-0.801206122705844,-0.6005151394748318,0.1706721362054938,0.049230820478476905,-0.0008993736123414456,-0.001489339105617225,0.21751424396601204
17,real,logit,real,11,0.172303251499577,-0.050357167954096,0.05097637279026817,,0.1729224563357492,0.16142829446859253,-0.05665057136814521,0.04225588048745521,,0.14703360358790252,0.15876726000804953,0.03263590768872249,0.05924342712711472,,0.25064659482388674
17,real,logit,perm,11,0.17493412926754565,-0.05305554115187875,0.04053532624699192,,0.16241391436265884,0.16433527231589712,-0.05836834345618728,0.03472784787279,,0.14069477673249986,0.15894615768897757,0.0323525752962186,0.05081784249634002,,0.2421165754815362
17,real,logit,real,29,0.16619362408681282,-0.010743847226136805,0.04400078855187444,,0.19945056541255046,0.15727069811625102,-0.021253652910794077,0.03709707271354038,,0.17311411791899733,0.1633691338602617,0.053448911181405025,0.0595527679907654,,0.27637081303243216
17,real,logit,perm,29,0.1653566821410259,-0.011246247989113833,0.03371213600313172,,0.18782257015504378,0.15677601248220469,-0.022006440436597493,0.028281699249813216,,0.1630512712954204,0.16344569691244606,0.054214420330040404,0.04930551910099821,,0.2669656363434847
17,real,logit,real,47,0.16356743659714051,-0.031604076706203854,0.057273284160958116,,0.18923664405189478,0.1582963238269108,-0.038003058682418336,0.04989980924105395,,0.17019307438554643,0.16105784638180348,0.048690529650535955,0.06287870474505104,,0.2726270807773905
17,real,logit,perm,47,0.1625823317681979,-0.03112251984420907,0.03834485619504211,,0.16980466811903094,0.15805678793670086,-0.03836370703080958,0.033519654030877824,,0.15321273493676912,0.1603462207194184,0.0494464783595504,0.052411523978569845,,0.26220422305753865
19,real,ls,real,11,0.15369870355098184,0.12196508498774138,0.006080845503044155,-0.02109646790269823,0.26064816613906916,0.13493142354295673,0.10098732794521105,0.0043310025679993615,-0.21782926501676705,0.022420489039400082,0.13531708733935507,0.13411468104317514,0.006333225249948865,0.08620134717411196,0.36196634080659107
19,real,ls,perm,11,0.15374072298030295,0.12087789035236245,-0.0004725144685256144,-0.01885824361104065,0.25528785525309916,0.13314676030231423,0.09821900098884645,-0.0017804317371007496,-0.215929892571293,0.013655436982766944,0.13565892838348598,0.13451347244605283,-3.434221915294781e-05,0.08780083677526139,0.35793889538564727
