q,Kw,seed,arm,n,m,full,I,P,C,W
73,0,11,real,2386,20,0.3533825238639049,0.23926291236021893,0.08585312296621699,0.028266488537468933,0.0
73,0,11,perm,2386,20,0.32254512391838697,0.2401318723138808,0.08375389113621201,-0.0013406395317058784,0.0
73,0,29,real,2386,20,0.3641842735387183,0.2538334766115399,0.08493952367196472,0.025411273255213696,0.0
73,0,29,perm,2386,20,0.336118889644368,0.253341168030947,0.08193615073772588,0.0008415708756951041,0.0
73,0,47,real,2386,20,0.35578662586723864,0.2377878415418776,0.0852738634608955,0.032724920864465545,0.0
73,0,47,perm,2386,20,0.32368481251917247,0.23919664983266783,0.08497643798219945,-0.00048827529569483996,0.0
73,1,11,real,2386,20,0.3602743293397517,0.23283701562962492,0.09330643566791878,0.016909950218845317,0.01722092782336261
73,1,11,perm,2386,20,0.3535617524923156,0.2350186105088597,0.09118055074530557,-0.001277757217770912,0.028640348455921196
73,1,29,real,2386,20,0.3625528812870944,0.24805818129957855,0.09238431655805356,0.01409932703896576,0.008011056390496513
73,1,29,perm,2386,20,0.35847103723710294,0.2492531878030852,0.08950689609541868,0.0006147608037748442,0.019096192534824186
