seed,world,n,p50,p90,p95,p99,s90,s95,s99
3,cb,9175,0.7012715023255492,0.8549718248829035,0.899627141409705,0.9863145660076543,0.9416013068856637,1.21516940161324,1.7462352506229104
3,M0,9175,0.7061443307162442,0.880690491534441,0.963698053554188,1.8139693650786395,1.025761111538105,1.5135743563801376,6.510391482175993
3,M1,9175,0.7098324615336302,0.90036007616366,1.3387501487308227,1.8588500168420117,1.0976062097315549,3.6231176263771094,6.619349149182454
3,M2,9175,0.7098324615336302,0.90036007616366,1.345500706726293,1.9229847383163692,1.0976062097315549,3.662006762680889,6.988821410126633
3,M3,9175,0.715065778601305,0.9676086674957607,1.5703073159945262,1.916364785523573,1.3904565082021014,4.708808737236563,6.614139997305068
3,M4,9175,0.7189367650547034,1.2080239397519412,1.4182879526015282,1.7239751544182746,2.5969543776353174,3.7134139310205097,5.336551396108436
3,M5,9175,0.7284007632790205,1.3465807057621415,1.4995703038932588,1.8061995899206496,2.9209942872736265,3.643893416543715,5.092763448138527
3,G0,9175,0.7154042546229484,0.9496047685759971,1.0909008596032561,1.3269925579210653,1.29272249990767,2.072638106995356,3.375799425070136
3,G1,9175,0.7471244716050044,1.1839536805278938,1.3698237575889227,1.7186014267716483,1.566814025502836,2.233490698472113,3.4844824652661397
3,G2,9175,0.7952109703189747,1.4045562742169346,1.5938026511169088,1.9293919414623693,1.432729646962935,1.877697209739654,2.666755109103902
3,G3,9175,0.9592031264490666,1.617097819522594,1.7798010162793072,2.054700647109106,1.0915737458981989,1.3615296215469603,1.8176409459430345
3,G4,9175,1.1203198869051796,1.7567171402135804,1.8972934409482487,2.195639025926498,0.8508139571680796,1.0387536097833816,1.4376186055692128
4,real,9175,0.6998812830689709,0.8893020771580599,0.9519626504339482,1.070611356338061,0.9579240884263099,1.274806259806843,1.8748272553513097
4,cb,9175,0.698943117207212,0.8555629430545687,0.9019016326138319,0.9852361753978423,0.9489799167481131,1.2297520700962101,1.734686915002034
4,M0,9175,0.7032906451280827,0.8793380953131464,0.9496740887047335,1.7487080332955125,1.019230230129036,1.4264418691246674,6.052464855371057
4,M1,9175,0.7071243349168201,0.9000154584584314,1.2760931897357661,1.819207566852021,1.0843699325521845,3.198554227878807,6.251763155632431
4,M2,9175,0.7071243349168201,0.9000154584584314,1.2925196289295255,1.8533928661742123,1.0843699325521845,3.2908982219079923,6.4439415723457545
4,M3,9175,0.7133254529312433,0.9618837722157054,1.5559036763999592,1.9172422580387796,1.3249589114090952,4.491426917263945,6.41756954309319
