a,b,r,n
23,27,0.2066537959788536,2088
23,28,-0.280168083290263,844
23,29,-0.24102518130278047,2105
23,30,-0.241880291967906,1988
23,31,-0.24059750682878403,1453
24,25,0.23725009788163245,368
25,26,-0.28563594671182946,352
25,27,0.18375479275190718,433
25,29,-0.19633018712629505,553
25,30,-0.3455859231174665,546
25,31,-0.3770195332927813,401
26,27,-0.28639546605391625,1332
26,28,0.37141397644656865,609
26,29,0.32254568258706867,1490
26,30,0.2967675365056258,1338
26,31,0.2707803766540109,1024
27,28,-0.2759677869323991,890
27,29,-0.276456107265579,2222
27,30,-0.1725927492599627,1927
27,31,-0.18949828322642448,1270
28,29,0.36598220095041867,944
28,30,0.35773924881979074,863
28,31,0.3301641757182177,672
29,30,0.4070346631288085,2187
29,31,0.3162554641634386,1594
30,31,0.4428542917452939,1591
