q,draw,world,v,v_ref,n,m,planted_pp
48,1,nullnull,0.18802389746940742,0.1880238974694074,2915,10,
48,2,real,0.18802389746940745,0.18802389746940745,2915,10,
48,2,nullnull,0.18802389746940742,0.18802389746940745,2915,10,
48,0,plant0.05,0.22962627193229398,0.22962627193229398,2915,10,11.778349372186025
48,0,plant0.1,0.2386756515385486,0.2386756515385486,2915,10,21.41475215509577
48,0,plant0.2,0.25504439177945676,0.25504439177945676,2915,10,33.35389180800467
53,0,real,0.1780058563488704,0.17800585634887045,2881,22,
53,0,nullnull,0.1780058563488704,0.17800585634887045,2881,22,
53,1,real,0.1780058563488704,0.1780058563488704,2881,22,
53,1,nullnull,0.1780058563488704,0.1780058563488704,2881,22,
53,2,real,0.1780058563488704,0.1780058563488704,2881,22,
53,2,nullnull,0.1780058563488704,0.1780058563488704,2881,22,
53,0,plant0.05,0.3064327203834002,0.3064327203834002,2881,22,10.832862964454714
53,0,plant0.1,0.330101799049182,0.33010179904918197,2881,22,19.81106608508757
53,0,plant0.2,0.3526020363890432,0.3526020363890432,2881,22,31.566915143875068
55,0,real,0.1511444427235903,0.1511444427235903,5034,17,
55,0,nullnull,0.1511444427235903,0.1511444427235903,5034,17,
55,1,real,0.1511444427235903,0.1511444427235903,5034,17,
55,1,nullnull,0.1511444427235903,0.1511444427235903,5034,17,
55,2,real,0.1511444427235903,0.1511444427235903,5034,17,
55,2,nullnull,0.1511444427235903,0.1511444427235903,5034,17,
55,0,plant0.05,0.19948023740675946,0.19948023740675946,5034,17,10.45049597828524
55,0,plant0.1,0.2126692585252588,0.2126692585252588,5034,17,19.063436184407305
55,0,plant0.2,0.2369352497910422,0.2369352497910422,5034,17,30.47578910030289
62,0,real,0.165694077381754,0.16569407738175398,3398,21,
62,0,nullnull,0.165694077381754,0.16569407738175398,3398,21,
62,1,real,0.165694077381754,0.16569407738175398,3398,21,
62,1,nullnull,0.165694077381754,0.16569407738175398,3398,21,
62,2,real,0.165694077381754,0.165694077381754,3398,21,
62,2,nullnull,0.16569407738175398,0.165694077381754,3398,21,
62,0,plant0.05,0.21414618709886982,0.21414618709886982,3398,21,10.641025520385025
62,0,plant0.1,0.22525169857854663,0.22525169857854663,3398,21,19.458052531806434
62,0,plant0.2,0.24579625171695815,0.24579625171695815,3398,21,30.677244220317522
63,0,real,0.16539996645744234,0.16539996645744234,5007,18,
63,0,nullnull,0.16539996645744234,0.16539996645744234,5007,18,
63,1,real,0.16539996645744234,0.16539996645744234,5007,18,
63,1,nullnull,0.16539996645744234,0.16539996645744234,5007,18,
63,2,real,0.16539996645744234,0.16539996645744234,5007,18,
63,2,nullnull,0.16539996645744234,0.16539996645744234,5007,18,
63,0,plant0.05,0.2190428890822227,0.21904288908222275,5007,18,10.200736578161587
63,0,plant0.1,0.2325329475916877,0.23253294759168766,5007,18,18.361618173190937
63,0,plant0.2,0.2594176467211157,0.2594176467211158,5007,18,29.878958410035526
