seed,world,n,p50,p75,p90,p95,p99
4,f0.15c1.0,9175,0.7299659083402364,0.8458364727249766,1.06633360435642,1.1588428700754256,1.3713127331389043
4,f0.22c0.25,9175,0.7217178872483311,0.8080800431442685,0.8936195175349525,0.9429928860349844,1.07249469748724
4,f0.22c0.5,9175,0.7372965365364537,0.8425325082049601,0.9506296615737301,1.0279311623118086,1.1821657799007061
4,f0.22c1.0,9175,0.7456312573505974,0.9060218271135752,1.1168551811752332,1.2024674771755752,1.4131386861404187
4,f0.32c0.25,9175,0.7329494597857006,0.8250579184419073,0.9115233706248355,0.9612424336951413,1.0916455822413318
4,f0.32c0.5,9175,0.7556885063040649,0.8742244070674734,0.985601907924795,1.0538381858710717,1.2323033640971197
4,f0.32c1.0,9175,0.7784005041512064,1.0313749301237118,1.1633319412563674,1.2484832149107097,1.4674293725788141
4,f0.45c0.25,9175,0.7456535574835051,0.8399194268926673,0.9242365346696403,0.9751243513220377,1.1103504079717605
4,f0.45c0.5,9175,0.7864625011259051,0.9102350032757339,1.015280099267253,1.0827155531663497,1.2558779784980063
4,f0.45c1.0,9175,0.8585103615344147,1.0855112347842533,1.1993552108204164,1.2858330389296957,1.5013874557638474
