seed,a,b,tier,cca,null
1,7,79,tier3 fluid<->non-fluid,0.3072764931533188,0.030297066446917376
1,7,83,tier1 precum<->ejaculate,0.855092808724161,0.07806646457550173
1,8,9,tier2 within fluid family,0.45550683599849034,0.07031990128327943
1,8,11,tier2 within fluid family,0.49650875064360056,0.024923283453588
1,8,13,tier3 fluid<->non-fluid,0.14307081127191582,0.06919569347824579
1,8,29,tier3 fluid<->non-fluid,0.2764019738521367,0.030363256960274723
1,8,55,tier3 fluid<->non-fluid,0.060517426809149774,0.12144666033035394
1,8,62,tier3 fluid<->non-fluid,0.30265538550317334,0.0979821689246693
1,8,63,tier3 fluid<->non-fluid,0.0827984004824527,0.05861007036656015
1,8,67,tier3 fluid<->non-fluid,0.13678536367366612,0.031703814110540136
1,8,77,tier3 fluid<->non-fluid,0.1406846227328828,0.08304088417949894
1,8,79,tier3 fluid<->non-fluid,0.15832411993347245,0.08713023126190847
1,8,83,tier2 within fluid family,0.5663336471602114,0.03930694582460094
1,9,11,tier2 within fluid family,0.4729631016419227,0.09904826784643239
1,9,13,tier3 fluid<->non-fluid,0.19031472491835702,0.10062477851685653
1,9,19,tier3 fluid<->non-fluid,0.4576470330379193,0.09114366941528441
1,9,20,tier3 fluid<->non-fluid,0.10472461533404272,0.04535182934971342
1,9,29,tier3 fluid<->non-fluid,0.5465110451681318,0.05679709322570689
1,9,36,tier3 fluid<->non-fluid,0.22019105697071067,0.038688974740310515
1,9,48,tier3 fluid<->non-fluid,0.07059124966793057,0.013035023488408641
1,9,53,tier3 fluid<->non-fluid,0.22562712789972256,0.03647579084709707
1,9,55,tier3 fluid<->non-fluid,0.1730700646162592,0.038394986702997895
1,9,62,tier3 fluid<->non-fluid,0.26401625231149545,0.1324074007148994
1,9,63,tier3 fluid<->non-fluid,0.164993696158086,0.06949891135315978
1,9,67,tier3 fluid<->non-fluid,0.3194810956476186,0.030558054745544964
1,9,77,tier3 fluid<->non-fluid,0.3444071376408363,0.02175894811001246
1,9,79,tier3 fluid<->non-fluid,0.37937954338214036,0.05770397675969602
1,9,83,tier2 within fluid family,0.6841188656160225,0.061884697966453336
1,9,90,tier3 fluid<->non-fluid,0.12083084194531812,0.1306424820028908
1,9,92,tier3 fluid<->non-fluid,0.17429559861155225,0.07725939068087746
1,9,93,tier3 fluid<->non-fluid,0.24065162251771471,0.07655543037259971
1,11,13,tier3 fluid<->non-fluid,0.11990471771698619,0.05238919254222541
1,11,29,tier3 fluid<->non-fluid,0.17267264700382834,0.11111538528225819
1,11,55,tier3 fluid<->non-fluid,0.12967934685042223,0.09679575752871925
1,11,62,tier3 fluid<->non-fluid,0.1874946830701878,0.014644746150968337
1,11,67,tier3 fluid<->non-fluid,0.08561904503605099,0.06230455274846409
1,11,79,tier3 fluid<->non-fluid,0.08944486397041079,0.02614311981985975
1,11,83,tier2 within fluid family,0.460858152375579,0.06428532099133566
1,13,17,tier4 all other pairs,0.21681152183904637,0.08157695843678908
1,13,19,tier4 all other pairs,0.2691718043671483,0.0265875551017779
1,13,20,tier4 all other pairs,0.20459731190441677,0.029829590214268953
1,13,29,tier4 all other pairs,0.3334010771014553,0.05750252541005694
1,13,36,tier4 all other pairs,0.40701456916749634,0.04823107637257466
1,13,39,tier4 all other pairs,0.28554593730531114,0.0885589765747162
1,13,42,tier4 all other pairs,0.2386545297539774,0.034994358261570296
1,13,48,tier4 all other pairs,0.30496730641428965,0.03778690987800665
1,13,51,tier4 all other pairs,0.12240353672211819,0.013174579483786784
1,13,53,tier4 all other pairs,0.3678911592151423,0.04111542602136116
1,13,55,tier4 all other pairs,0.4881293609544684,0.011490886515504353
1,13,62,tier4 all other pairs,0.3517158298354441,0.03676375557611952
1,13,63,tier4 all other pairs,0.4652162146678795,0.04362262339050242
1,13,67,tier4 all other pairs,0.28163142195597085,0.0319317808436888
1,13,73,tier4 all other pairs,0.2957095991620441,0.03934585429466879
1,13,77,tier4 all other pairs,0.46065828649373614,0.017389993045994936
1,13,79,tier4 all other pairs,0.2926958957659306,0.022618066931575045
1,13,81,tier4 all other pairs,0.31965088401750746,0.024875866162640644
1,13,83,tier3 fluid<->non-fluid,0.14163900938383708,0.053790104290208904
1,13,85,tier4 all other pairs,0.32477090650724283,0.060336476923689444
1,13,90,tier4 all other pairs,0.17802750739135859,0.03397834177751906
1,13,91,tier4 all other pairs,0.221596703069605,0.10087010394533649
1,13,92,tier4 all other pairs,0.4669802717347893,0.0346820370339394
1,13,93,tier4 all other pairs,0.40190855194332525,0.058762400961142984
1,13,96,tier4 all other pairs,0.2572583710569323,0.037956636280349336
1,17,19,tier4 all other pairs,0.21023357376237642,0.043250669318407424
1,17,20,tier4 all other pairs,0.14272649710057553,0.06862254966976683
1,17,29,tier4 all other pairs,0.26031222649314534,0.04002262926215282
1,17,53,tier4 all other pairs,0.15278623563720803,0.045442890557230074
1,17,63,tier4 all other pairs,0.24171800429530202,0.06720184116193714
1,17,67,tier4 all other pairs,0.16869583923096712,0.06257045345010595
1,17,73,tier4 all other pairs,0.2590005277309179,0.0444338782928743
1,17,77,tier4 all other pairs,0.22361007800360888,0.06639841097624063
1,17,79,tier4 all other pairs,0.19186029180527395,0.14549049120150503
1,19,20,tier4 all other pairs,0.12290593671237388,0.04138101380987343
1,19,29,tier4 all other pairs,0.40967360697864685,0.0483499233088972
1,19,36,tier4 all other pairs,0.2831865717566692,0.056790746902434984
1,19,42,tier4 all other pairs,0.18517703472616717,0.08443754631559892
