noise_0.3,noise_0.5,noise_0.7
0.4673354892713912,0.4669132897576514,0.4215529155330421
0.4787266174717587,0.44073880992978604,0.4326616771322109
0.4527836890933956,0.4468772624361521,0.39341358333112647
0.4689511159176844,0.41533252403609344,0.39527130712424474
0.45094626235279717,0.5005114946827846,0.5040321214015677
0.49338519591519003,0.4735172350678564,0.4339587608601396
0.4837840235719336,0.5091362310543732,0.44912373710566006
0.4421387806049048,0.4504899720290832,0.44986342742936725
0.45328640052361535,0.5158042514544198,0.5194339163544093
0.4471065328765006,0.4115422184120319,0.3763973312578062
0.45246363448961546,0.43558540346874913,0.4095088765863381
0.3842102428443016,0.3675635673147948,0.332815240722552
0.38757578104078977,0.43706783244288444,0.45953092760474956
0.4238797089313184,0.4563701507306027,0.45169416069556734
0.5023460448633574,0.4708290760391992,0.49251343701195227
0.4248625466573062,0.41949368297533196,0.4007939428461048
0.5461721287794685,0.5311670708608185,0.48834580669415545
0.4357396981924221,0.44290533432987245,0.42289142293214826
0.5021303440890887,0.5063024495104336,0.49210065097232425
0.44745868705000796,0.4398804444594399,0.4171823984176728
0.42479311867824116,0.39299844484640917,0.4118273769813229
0.47248483253116147,0.3957061976709136,0.36184071788776345
0.38590006714011815,0.4058520060075418,0.4333165108692239
0.4873733311959644,0.48307191536440947,0.4549556212460948
0.38066584379335117,0.39264638812238317,0.3986980275748183
0.4869279397791572,0.44924960842691436,0.46788274574959304
0.42640166846717614,0.4266941137274621,0.4255471726006474
0.3994781032286378,0.3558409201669309,0.3899713788040947
0.48487927916917384,0.43190070117117224,0.3789090555382967
0.5058935892675711,0.5029954421981988,0.4855939303521246
0.4322688587379007,0.44277857948654736,0.4357144001081117
0.49243119872840163,0.46631287123753806,0.42501948268333284
0.4564956599755221,0.46643485031482856,0.4801875961498726
0.42577176759406954,0.4693774958667475,0.47059414640585917
0.47941478038687113,0.4794987950698507,0.4153835582202218
0.4040921002794143,0.39565448742565273,0.4223935868164424
0.4029170249540414,0.38886049711434034,0.4167445905920572
0.43687152532149337,0.4194333676997536,0.4588851604982858
0.48517942941160797,0.44324311547752476,0.36454178184759595
0.48357953841519524,0.49508634671302093,0.4298606890626119
0.48306061503046693,0.42493771010090997,0.43958444292512733
0.4224596037698801,0.4041192089726034,0.4222636668186617
0.441610200682889,0.42719784881244116,0.4291348506265039
0.4277491540301169,0.4266565688712378,0.4414320890885172
0.5625428901574301,0.5616614006330436,0.5387545885339289
0.3996994431811489,0.40741632727037363,0.4461612564106982
0.4223957852588166,0.43159618622832424,0.42769159871811463
0.49438015469143104,0.44528941830389723,0.4457151281140922
