set,block,seed,gain,placebo,null
excluded,6,4,0.010303828207383292,0.0,-0.007181829348483548
excluded,10,1,0.006841968266649845,0.0,-0.002483012638687221
excluded,10,2,0.0021823357444976654,0.0,-0.011445022361553425
excluded,10,3,0.02407926330883059,-2.220446049250313e-16,0.0002764487104742752
excluded,10,4,0.011539712374199596,0.0,-0.009253968177823646
excluded,31,1,0.011042231841966066,0.0,-0.0032572340724053017
excluded,31,2,0.006776460900698056,0.0,-0.007722895583351597
excluded,31,3,0.02104724454977902,1.1102230246251565e-16,-0.002842348698515962
excluded,31,4,0.009846689101707606,0.0,-0.0023692436186607546
excluded,32,1,0.024041793757591745,0.0,-0.0019393387773614101
excluded,32,2,0.027825279044607076,0.0,-0.0020713474554258093
excluded,32,3,0.023986355120186986,0.0,-0.0007327164135871866
excluded,32,4,0.028069634622724937,1.1102230246251565e-16,-0.003621853842656897
excluded,34,1,-0.008015067689975952,0.0,-0.0030224652133473695
excluded,34,2,-0.004225762151884083,-2.220446049250313e-16,-0.010072918730244074
excluded,34,3,-0.0025182871875661927,0.0,-0.0033175183346694226
