block,baseline,seed,gain,null_gain
55,propensity+full_coverage,4,0.022238669453959914,-0.0013622922876881383
55,propensity+full_coverage,14,0.02281382866233328,-0.0017298404876632256
55,propensity+full_coverage,24,0.022360450431203494,-0.0010782081305475977
62,propensity,4,0.06777849033135552,-0.0010319921469517102
62,propensity,14,0.06497652128915521,-0.005041994904690705
62,propensity,24,0.06466890913794188,-0.0016974250899846055
62,propensity+n_blocks,4,0.061899112558118974,-0.0011422915086268803
62,propensity+n_blocks,14,0.05873231290117398,-0.00490981602475371
62,propensity+n_blocks,24,0.06086377801482046,-0.0017396994302256719
62,propensity+coverage_pcs,4,0.043962206722420905,-0.0010991846111151338
62,propensity+coverage_pcs,14,0.04519669420231165,-0.004678866484068345
62,propensity+coverage_pcs,24,0.045000029919336826,-0.0019065439957394181
62,propensity+full_coverage,4,0.03451064562926032,-0.001769331483888914
62,propensity+full_coverage,14,0.03667136131272575,-0.004646751054491083
62,propensity+full_coverage,24,0.03434981078659827,-0.0018647545825876133
63,propensity,4,0.032928563990266446,-0.0024513898039104642
63,propensity,14,0.03569775590289981,-0.0011924300425110168
63,propensity,24,0.03562524872352468,-0.0016245783126955793
63,propensity+n_blocks,4,0.02789899539046714,-0.0024446508473027206
63,propensity+n_blocks,14,0.030128921726944702,-0.0011524895675344426
63,propensity+n_blocks,24,0.029122852513893127,-0.0016685775033540295
63,propensity+coverage_pcs,4,0.019790279036678182,-0.00252550735496182
63,propensity+coverage_pcs,14,0.02014701639200167,-0.0012758967156057954
63,propensity+coverage_pcs,24,0.02057550292726429,-0.0017193750429205235
63,propensity+full_coverage,4,0.01704733396311231,-0.002539414711570709
63,propensity+full_coverage,14,0.01633821952350556,-0.001208884961079626
63,propensity+full_coverage,24,0.01712498926666428,-0.00174374521652787
67,propensity,4,0.02421212798268757,-0.0015882472570054595
67,propensity,14,0.025101874761937926,-0.0004097620987839612
67,propensity,24,0.022866423086752907,-0.0022255908801367408
67,propensity+n_blocks,4,0.022818243734087695,-0.001585716282443972
67,propensity+n_blocks,14,0.024145825061962722,-0.0005100792103663876
67,propensity+n_blocks,24,0.02209677232428031,-0.002196899654654194
67,propensity+coverage_pcs,4,0.020468598723864306,-0.0014977956561208483
67,propensity+coverage_pcs,14,0.020059961588393294,-0.0005047696974253002
67,propensity+coverage_pcs,24,0.018241462275513043,-0.0020430112632106034
67,propensity+full_coverage,4,0.013385898858408796,-0.0012738904608080581
67,propensity+full_coverage,14,0.012722939515577458,-0.00041358086415987927
67,propensity+full_coverage,24,0.011888329737627767,-0.0020015733825721194
73,propensity,4,0.050238451655950755,-0.0023463247430581813
73,propensity,14,0.04656747560004304,-0.000822585846937729
73,propensity,24,0.04878257620448978,-0.0030269494952759324
73,propensity+n_blocks,4,0.04804010817089399,-0.002367384155853469
73,propensity+n_blocks,14,0.04256373231337329,-0.0009671412651628408
73,propensity+n_blocks,24,0.046562389562791795,-0.003279268391736978
73,propensity+coverage_pcs,4,0.027127380286217084,-0.0027783754883539125
73,propensity+coverage_pcs,14,0.018720654802710013,-0.0011662159558181173
73,propensity+coverage_pcs,24,0.026145830495695965,-0.0028013150368286777
73,propensity+full_coverage,4,0.021156213202662255,-0.0021176855818691998
73,propensity+full_coverage,14,0.013308867354273501,-0.0012547015292726504
73,propensity+full_coverage,24,0.018247197343112087,-0.0038872262193732077
77,propensity,4,0.07209220752162149,-0.0013891562624803733
77,propensity,14,0.06688147038256498,-0.0008169210915094371
77,propensity,24,0.0691865093004379,-0.0027525449591172535
77,propensity+n_blocks,4,0.06505321778768791,-0.001343993458074233
77,propensity+n_blocks,14,0.05909284933286907,-0.000846409315938379
77,propensity+n_blocks,24,0.05696006141997756,-0.002661262635301642
77,propensity+coverage_pcs,4,0.052987171267882105,-0.0013153681761836067
77,propensity+coverage_pcs,14,0.047270544751586985,-0.001105101670402453
77,propensity+coverage_pcs,24,0.046754824052444355,-0.0023290013280725663
