arm,cat,n,diff,early,late,dy,dc
cent_all,6,2468,0.033432928987051844,0.053956412928227615,0.020523483941175775,0.1588330632090762,-0.0010159897433416054
abs_low,6,758,0.021636020186191443,-0.08083505968147102,-0.10247107986766246,0.0,0.004450045288071691
abs_high,6,1660,-0.01894447998236609,0.0007465135220253901,0.01969099350439148,0.0,0.0047473475993526915
shuf_abs,6,2522,-0.03071857393848974,0.022218824822482646,0.052937398760972386,0.0,-0.006545385680637339
shuf_cent,6,2558,-0.009972394161479974,0.021823279683532888,0.03179567384501286,0.03831118060985128,0.0015637216575450363
plant_abs,6,2408,0.12095578602339564,0.11929646583769055,-0.0016593201857051005,0.04339870286465253,0.006681707740367915
plant_cent,6,2468,0.12846051251945478,0.14898399646063057,0.020523483941175775,0.17918746876435687,-0.0010159897433416054
abs_all,7,4788,0.017553113449554014,0.09621202547481024,0.07865891202525623,0.0,-0.003684584595817997
cent_all,7,4806,0.003834680500964263,0.09199627087683598,0.08816159037587172,0.049105285060341064,-0.0009378823734014219
abs_low,7,1410,-0.0005937615605497437,0.029864846078449192,0.030458607638998936,0.0,-0.01414205567905169
abs_high,7,3456,0.01856557298851926,0.026248260953623315,0.007682687965104055,0.0,0.0004405058043117638
shuf_abs,7,4828,-0.027913799088002664,0.08294007550256412,0.11085387459056678,0.0,-0.0029492141611742184
shuf_cent,7,4914,-0.010820673595916805,0.089623639084928,0.1004443126808448,0.021978021978022344,-0.001348568512747672
plant_abs,7,4800,0.08229283347043811,0.16718040938549286,0.08488757591505475,0.03007208854968013,-0.0027798507462686306
plant_cent,7,4806,0.0762524329044418,0.16441402328031351,0.08816159037587172,0.07421688548161853,-0.0009378823734014219
abs_all,8,6980,0.005782951125164526,0.027912999855113512,0.022130048729948986,0.0,-0.02027113715092166
cent_all,8,6828,0.007854848666873138,0.023623306490626734,0.015768457823753596,0.14206209724663132,-0.0017837001285313514
abs_low,8,1292,-0.01729975797278141,-0.0855521249046108,-0.06825236693182939,0.0,-0.03098285661475908
abs_high,8,5688,0.021240026235076,0.01661113430806634,-0.00462889192700966,0.0,-0.017838025064550567
shuf_abs,8,6976,0.003679791862581272,0.02559201471486076,0.02191222285227949,0.0,0.0025160892783787636
shuf_cent,8,6980,0.006769850953019945,0.023137802405783003,0.01636795145276306,-0.034097421203438394,-0.0010948124705982831
plant_abs,8,6962,0.10393075104655825,0.12727048636650873,0.023339735319950483,0.0165997603910899,-0.021133916742058223
plant_cent,8,6828,0.11104709468900119,0.12681555251275478,0.015768457823753596,0.14907288541350505,-0.0017837001285313514
abs_all,9,2080,-0.0211052345755852,0.030083488898590565,0.05118872347417577,0.0,-0.00397531572904708
cent_all,9,2220,-0.0012598025684062222,0.046366493650726925,0.04762629621913315,0.2171171171171169,0.003361570525749702
abs_high,9,1574,0.02727765913107651,0.050798737167808694,0.023521078036732184,0.0,-0.002484401373058498
shuf_abs,9,2290,-0.02072963914103334,0.051079090699800524,0.07180872984083386,0.0,-0.014755914749397081
shuf_cent,9,2244,-0.014511898906771771,0.047717280190741396,0.06222917909751317,0.07040998217468797,-0.0038311118205761607
plant_abs,9,2062,0.03295352676530889,0.08917601493306414,0.05622248816775525,0.02308453719475434,-0.003228281482982709
plant_cent,9,2220,0.08717425579307844,0.13480055201221158,0.04762629621913315,0.2423273184239716,0.003361570525749702
abs_all,10,4784,0.054424266474479135,0.13085588546551352,0.07643161899103439,0.0,0.008847900963410371
cent_all,10,4912,0.0645189565009164,0.13147742238519258,0.06695846588427619,0.1587947882736156,0.002655695464047869
abs_low,10,1096,0.04894874012248692,-0.037800528449521385,-0.0867492685720083,0.0,0.01070378036823183
abs_high,10,3832,0.027611547907383252,0.08592608491620314,0.05831453700881989,0.0,0.011645841772349175
shuf_abs,10,5264,0.02114118248174475,0.1182269815729548,0.09708579909121005,0.0,0.0027332940162410058
shuf_cent,10,5250,0.005875810324516992,0.11762017485304176,0.11174436452852476,-0.004571428571428449,0.0016204690831558288
plant_abs,10,4758,0.104985970863463,0.1826932387779133,0.0777072679144503,0.008995014985366367,0.009329142434109539
