q,world,rank,scale,seed,skill,planted_sd,item_pp,person_pp,person_noise_pp
29,margin,,,11,-0.006979209420357346,0.0,,,
29,plant,2.0,0.05,11,-0.0099151019635223,0.0678091611313871,,,
29,plant,2.0,0.08,11,-0.002484180479742415,0.10470826398613968,,,
29,plant,2.0,0.12,11,0.018495508105903946,0.15042781967039076,,,
29,plant,2.0,0.2,11,0.08546759415421457,0.22444889774626017,,,
29,plant,2.0,0.3,11,0.17663450274343162,0.28881833266559087,,,
29,plant,5.0,0.05,11,-0.008565418927516943,0.10893554942464542,,,
29,plant,5.0,0.08,11,0.004840805561924122,0.16562366746769389,,,
29,plant,5.0,0.12,11,0.04038663356769501,0.22717578243505654,,,
29,plant,5.0,0.2,11,0.12554034378349255,0.31024947049676677,,,
29,plant,5.0,0.3,11,0.22666214493969572,0.37077625567926453,,,
29,plant,10.0,0.05,11,-0.002462646601939955,0.14588383685441414,,,
29,plant,10.0,0.08,11,0.02367520285394198,0.21719672187930578,,,
29,plant,10.0,0.12,11,0.06647150333550556,0.28786633307387577,,,
29,plant,10.0,0.2,11,0.1459533676256558,0.37039646534415616,,,
29,plant,10.0,0.3,11,0.2207428451234923,0.4208433852122101,,,
29,real,,,29,0.035873309737521675,,21.466393469189185,18.4875711005623,9.506070205202814
29,margin,,,29,-0.010642191885714691,0.0,,,
29,plant,2.0,0.05,29,-0.010719654811537693,0.06562960957751943,,,
29,plant,2.0,0.08,29,-0.0054189677171117,0.10094385652582631,,,
29,plant,2.0,0.12,29,0.00973869130173144,0.14206914200796064,,,
29,plant,2.0,0.2,29,0.05774166818597559,0.20538397058647928,,,
29,plant,2.0,0.3,29,0.1242786683333229,0.2604066091715989,,,
29,plant,5.0,0.05,29,-0.003815647009342449,0.11450764238556416,,,
29,plant,5.0,0.08,29,0.011355590705399377,0.1750606791503638,,,
29,plant,5.0,0.12,29,0.051168271153696265,0.24312464773096631,,,
29,plant,5.0,0.2,29,0.14742651013097208,0.3324302745972448,,,
29,plant,5.0,0.3,29,0.25853943191118,0.3915995814701264,,,
29,plant,10.0,0.05,29,-0.0046980529554923045,0.13851274416976803,,,
29,plant,10.0,0.08,29,0.00972065985145254,0.20777530131437516,,,
29,plant,10.0,0.12,29,0.043775190281096776,0.2772490600575567,,,
29,plant,10.0,0.2,29,0.10880543041281443,0.3589606097930853,,,
29,plant,10.0,0.3,29,0.1586665726337897,0.41031651237952727,,,
39,real,,,11,0.03439736577825081,,16.180666296490553,21.537269435526156,12.57831970046187
39,margin,,,11,-0.018707972044330057,0.0,,,
39,plant,2.0,0.05,11,-0.015362959998579395,0.07502168650720803,,,
39,plant,2.0,0.08,11,-0.012239167636956094,0.11739098992366157,,,
39,plant,2.0,0.12,11,0.0018011371500157303,0.1630451197497464,,,
39,plant,2.0,0.2,11,0.040447278927647434,0.22504315465399052,,,
39,plant,2.0,0.3,11,0.08973096089524935,0.2730323807728682,,,
39,plant,5.0,0.05,11,-0.02939260529749088,0.10698368575403229,,,
39,plant,5.0,0.08,11,-0.017413621730525852,0.16330219403233381,,,
39,plant,5.0,0.12,11,0.0031999485187632626,0.22560154768832635,,,
39,plant,5.0,0.2,11,0.057539281533579345,0.30826131139787943,,,
39,plant,5.0,0.3,11,0.11276794217120911,0.3660984954967654,,,
39,plant,10.0,0.05,11,-0.004266254510584155,0.16433800569246734,,,
39,plant,10.0,0.08,11,0.014892133126861884,0.24066816340301406,,,
39,plant,10.0,0.12,11,0.0369734132417181,0.3096906198947019,,,
39,plant,10.0,0.2,11,0.0749847801115957,0.38262914146639987,,,
39,plant,10.0,0.3,11,0.09564002605232291,0.42340524810722063,,,
39,real,,,29,0.03816589278105054,,16.180666296490553,21.537269435526156,12.57831970046187
39,margin,,,29,-0.00988343795313662,0.0,,,
39,plant,2.0,0.05,29,-0.013748626790498042,0.0766044851877318,,,
39,plant,2.0,0.08,29,-0.009827611886342957,0.11729098149492556,,,
39,plant,2.0,0.12,29,0.002054165482311854,0.16393136243920012,,,
39,plant,2.0,0.2,29,0.05826538879109466,0.2355823071379284,,,
39,plant,2.0,0.3,29,0.149693344197681,0.2962274185698488,,,
39,plant,5.0,0.05,29,-0.01339476338775003,0.10888608491349905,,,
39,plant,5.0,0.08,29,-0.0018517235649938568,0.16476378598852376,,,
39,plant,5.0,0.12,29,0.013398816608547248,0.2218542650087066,,,
39,plant,5.0,0.2,29,0.06678633233215059,0.2970347384266876,,,
39,plant,5.0,0.3,29,0.12717707268385003,0.3522183941756623,,,
39,plant,10.0,0.05,29,-0.020035765899252267,0.15377080568322757,,,
39,plant,10.0,0.08,29,-0.009032260638484058,0.2268137397867623,,,
