q,arm,seed,C,W,CW,n_eval
83,shuffled,11,0.0024174658591890053,-0.04613789151149594,-0.04340673497636438,807
83,shuffled,29,0.011220040945792431,-0.012595671845699208,-0.007009958166129704,814
83,shuffled,47,-0.0008790678188190792,-0.039660157127048734,-0.04048101187526154,819
85,raw,11,0.005374377260140006,0.004208603613494399,0.003945914013869567,2190
85,raw,29,0.008790645547305909,0.0005241624788684396,0.0030906680439318768,2190
85,raw,47,0.007690167222773492,-0.00434280597123915,-0.0030940149809527417,2190
85,holdout,11,0.0046514879246407626,-0.03184704762088242,-0.03326898159116032,1072
85,holdout,29,0.00798679646728706,-0.003916474126440805,-0.0006223200862843781,1053
85,holdout,47,0.000883813457995819,0.005473617056449553,0.0009742915231788496,1127
85,shuffled,11,0.00017234859224524168,-0.006375415297591336,-0.0055246135660739215,1072
85,shuffled,29,-0.002607158631779516,0.001018491313004244,0.001056843276449393,1053
85,shuffled,47,0.00026255134954611403,-0.003947937478960717,-0.003942619746589382,1127
90,raw,11,7.83967513637851e-05,-0.03487396154156974,-0.035380262922273475,3701
90,raw,29,0.0011493549062072672,-0.029669557539974023,-0.030473917627475533,3701
90,raw,47,0.0010208986302530088,-0.04505294240848423,-0.04440479824522914,3701
90,holdout,11,0.0007418516911412709,-0.04859469396404126,-0.049166345697386205,1801
90,holdout,29,-0.0007731600929213878,-0.018111680435790034,-0.018404395480233426,1772
90,holdout,47,-0.0005103325203514864,-0.033984287713104244,-0.03629454751144923,1931
90,shuffled,11,-0.0017446646589931447,-0.051066216531899356,-0.05218515257155909,1801
90,shuffled,29,-0.0003760624982004357,-0.0555651885494316,-0.05648750923484003,1772
90,shuffled,47,-0.0009958781586345555,-0.04956695608520856,-0.049873105460918166,1931
92,raw,11,0.015170764653105961,-0.09443872316297153,-0.08776589656915101,3593
92,raw,29,0.010562284762949625,-0.07444103196267138,-0.07156553094094009,3593
92,raw,47,0.014688249669562281,-0.09495060201593786,-0.08916879722121496,3593
92,holdout,11,0.013699143187819618,-0.0897561197419573,-0.08227309044532638,1753
92,holdout,29,0.011908586473495686,-0.10283755169572906,-0.0990935067877109,1746
92,holdout,47,0.014117215781693448,-0.11945462236229931,-0.11470917080047927,1882
92,shuffled,11,0.00296074387323364,-0.08807602972609319,-0.08821139784918375,1753
92,shuffled,29,0.0005821664678161698,-0.09804763810133066,-0.09749305763342087,1746
92,shuffled,47,0.001361170159991043,-0.0918220773180558,-0.09192995779713986,1882
93,raw,11,0.020590823624198284,-0.006976553934099128,-0.008244872970370576,3228
93,raw,29,0.02391555014810265,-0.00710416768958666,-0.00605342454651403,3228
93,raw,47,0.02674820237304265,0.005881811575715878,0.010520766727806885,3228
93,holdout,11,0.023189050364740837,-0.041825608162790906,-0.04195340159649141,1569
93,holdout,29,0.02463849069510915,-0.020100177899680882,-0.015750048670090222,1556
93,holdout,47,0.02117919047961403,-0.011802102611392695,-0.011242623046100353,1649
93,shuffled,11,0.004279882493350873,-0.02039789415916715,-0.019259367838829422,1569
93,shuffled,29,0.0008445469734567057,-0.05557462336865293,-0.05619855896308523,1556
93,shuffled,47,0.0024760422256562276,-0.04125997578198537,-0.04154586327884391,1649
