a,b,kind,n,bal,gap,eff_base,eff_type
13,26,same,949,0.42149631190727077,4.2038988408851425,0.03142163814631879,0.029702145796177887
13,15,cross,620,0.30483870967741933,4.820967741935484,0.03859949640141608,0.022799692559905604
6,22,same,618,0.49029126213592233,4.568770226537217,0.012272039859249961,-0.0035363461622904824
2,15,cross,1289,0.39875872769588827,5.049650892164468,0.06757689217126561,0.03751686759669837
29,30,same,6548,0.45983506414172265,4.655314599877825,0.039095167368411676,0.03865742214956036
18,29,same,856,0.24649532710280375,5.186915887850467,-0.011617637609248055,-0.018091865281732566
14,16,same,914,0.25820568927789933,4.691466083150985,0.04676085686969106,0.044093851051715094
4,30,same,7899,0.19964552474996836,4.991201417901,0.024057869096891116,0.01847775140910679
5,12,same,1319,0.33206974981046244,4.702805155420774,0.028252728618389678,0.0258804164454966
1,2,same,2820,0.1886524822695036,4.94095744680851,0.05414223605119017,0.05184907077352968
2,16,same,1317,0.35079726651480636,4.622627182991648,0.007127156875467167,0.00731891395399159
2,3,cross,3078,0.23164392462638075,4.4641000649772575,0.03864965682324739,0.02358686245285796
5,30,cross,4916,0.1887713588283157,5.441110659072416,0.02687931457000947,0.02634298971103105
2,12,cross,1671,0.3243566726511071,4.533512866546978,0.006992052783644176,-0.011207629356221493
5,16,cross,955,0.3863874345549738,4.981675392670157,-0.004909211509602773,-0.003517202338077563
17,22,cross,1412,0.330028328611898,4.49256373937677,0.03134003295585558,0.0260253413546655
1,22,cross,1205,0.2116182572614108,5.231535269709544,0.05134172007866661,0.03490359812588201
17,23,cross,1303,0.2985418265541059,4.950498848810438,0.022333777509619013,-0.006402087164026515
9,18,cross,413,0.3753026634382567,4.5290556900726395,0.06966918492652696,0.017391865372462068
8,17,cross,3003,0.42657342657342656,4.491841491841492,0.020369307669376335,-2.8003241616170182e-05
4,29,same,5414,0.1856298485408201,4.807074251939416,0.023011942372420213,0.018796943917889775
11,15,same,1294,0.3554868624420402,4.937017001545595,0.06963281013777756,0.045081681791376116
9,17,cross,1012,0.43577075098814233,4.626482213438735,0.028123395864167677,0.011285024819686185
