q,K,seed,f,n,m,I,P,X
9,2,11,0.0,2358,10,0.19012930197432099,0.13135575022134943,-0.03131777466589586
9,1,11,0.25,2358,10,0.18840186368527503,0.12176626443152153,-0.01653135949212533
9,2,11,0.25,2358,10,0.1888893553769873,0.13066739527291193,-0.05955894086335217
9,1,11,0.5,2358,10,0.18568945902490527,0.12130839717023104,-0.02415728050971268
9,2,11,0.5,2358,10,0.1821719002476611,0.13189069538394205,-0.09066421780859263
9,1,11,1.0,2358,10,0.17837160123899176,0.12180058181967673,-0.040192327441851396
9,2,11,1.0,2358,10,0.1736718391816877,0.13058592465673205,-0.12137271071405023
9,1,11,5.0,2358,10,0.16250077497438192,0.12399330230903378,-0.08339329787672647
9,2,11,5.0,2358,10,0.16118537173916114,0.12691934112379616,-0.16224116837765462
9,1,29,0.0,2358,10,0.19483785532230166,0.10792017296076163,0.026925927257817634
9,2,29,0.0,2358,10,0.19174490341792638,0.12111841654104301,-0.011160249997056317
9,1,29,0.25,2358,10,0.19722324278507,0.11082376514757583,0.012654323704422524
9,2,29,0.25,2358,10,0.19264388903510313,0.12335677455529942,-0.030379307729195726
9,1,29,0.5,2358,10,0.19337167229909033,0.10102300385793268,-0.020695188302728797
9,2,29,0.5,2358,10,0.1876870262134926,0.118323327607278,-0.0647560795197009
9,1,29,1.0,2358,10,0.19158850452726417,0.10810683656161234,-0.03576074995738099
9,2,29,1.0,2358,10,0.18642862961380482,0.12258269602543606,-0.08698005630511359
9,1,29,5.0,2358,10,0.18353245837919313,0.09899945568717763,-0.0851956051464391
9,2,29,5.0,2358,10,0.18084442633595785,0.10682513542111557,-0.16462126670891292
9,1,47,0.0,2358,10,0.18148145046156086,0.08783702731125445,0.021020098189093263
9,2,47,0.0,2358,10,0.18348567042459124,0.09731947078375924,-0.0058341507271683635
9,1,47,0.25,2358,10,0.18530726122795005,0.08813701214074188,0.0036959254932606993
9,2,47,0.25,2358,10,0.1873324375802487,0.09624686248467672,-0.04188166210082239
9,1,47,0.5,2358,10,0.17778871903505936,0.08998304578261054,-0.009666158442099023
9,2,47,0.5,2358,10,0.17863731858634402,0.09815899352175478,-0.06062247920647729
9,1,47,1.0,2358,10,0.18852260186431774,0.0833235146577956,-0.034821518492202976
9,2,47,1.0,2358,10,0.18470337680918017,0.09095573629772383,-0.08167117624530947
9,1,47,5.0,2358,10,0.18216899456263666,0.12987093250852874,-0.10372926515840993
9,2,47,5.0,2358,10,0.17912122348882303,0.13614756496985286,-0.17252422929808844
11,1,11,0.0,1324,10,0.18633832985153528,0.1386631922228985,-0.024697144455571488
11,2,11,0.0,1324,10,0.18520568801177809,0.15273886396026057,-0.0634019594676938
11,1,11,0.25,1324,10,0.1873944059907704,0.13898436679871182,-0.02582844357782732
11,2,11,0.25,1324,10,0.1862582629167291,0.15181834541518927,-0.09074506992703828
11,1,11,0.5,1324,10,0.17814193615609822,0.14362853022823932,-0.024282512701319273
11,2,11,0.5,1324,10,0.17532604211200303,0.15864331690100258,-0.1062335527468704
11,1,11,1.0,1324,10,0.17693026604713932,0.12626569074348346,-0.044775839513329266
11,2,11,1.0,1324,10,0.17678794089931996,0.1288060108261269,-0.10287822225896054
11,1,11,5.0,1324,10,0.16921852091863004,0.1398853463601749,-0.10405000351567956
11,2,11,5.0,1324,10,0.16951564892748638,0.13844659997534958,-0.1376728573922307
11,1,29,0.0,1324,10,0.18062686214574492,0.12168905598156665,0.0013707277243175109
11,2,29,0.0,1324,10,0.1807228694722372,0.1405543154880976,-0.04625190954056385
11,1,29,0.25,1324,10,0.18380650593878028,0.12961746296329496,-0.016978642979729286
11,2,29,0.25,1324,10,0.18420180298073993,0.14613064484196706,-0.07071133362351513
11,1,29,0.5,1324,10,0.18469454618689618,0.11860929172930051,-0.03164962541281622
11,2,29,0.5,1324,10,0.186048116951437,0.13169690115435645,-0.11637921890100643
11,1,29,1.0,1324,10,0.1754065038173946,0.10785126872407047,-0.047923654781874596
11,2,29,1.0,1324,10,0.1792186937885177,0.11426487098421387,-0.13367943112319497
11,1,29,5.0,1324,10,0.18111651956857974,0.10591824339012659,-0.09682909036541133
11,2,29,5.0,1324,10,0.17917982162776458,0.11140609353083421,-0.17454892820530477
11,1,47,0.0,1324,10,0.1889754686425799,0.09315877983022784,0.012453854300656042
11,2,47,0.0,1324,10,0.18892647788320938,0.11064235505209578,-0.03775023744638634
11,1,47,0.25,1324,10,0.1915240146366407,0.09206175087547136,-0.014994840031009758
11,2,47,0.25,1324,10,0.19193683206106185,0.11171698944836181,-0.08611511931476169
11,1,47,0.5,1324,10,0.17464473134719127,0.11955246304532774,-0.021254271046648232
11,2,47,0.5,1324,10,0.17361472592196792,0.13259426586758283,-0.11703093927013478
11,1,47,1.0,1324,10,0.18129190095325506,0.07634053946963834,-0.058220617417826206
11,2,47,1.0,1324,10,0.18249738445998318,0.08529624435141261,-0.12684109274012245
11,1,47,5.0,1324,10,0.16375224322998871,0.09900062872186029,-0.11186336645164316
11,2,47,5.0,1324,10,0.16103649012932744,0.11698814157621387,-0.20248624731161508
13,1,11,0.0,8648,19,0.3122289337503215,0.11767955482327999,-0.014520206199233127
13,2,11,0.0,8648,19,0.3128537113672414,0.12159241025608852,-0.044360362938812015
13,1,11,0.25,8648,19,0.3137354557972706,0.117552055934942,-0.015554401155838615
13,2,11,0.25,8648,19,0.31360142196198004,0.1213109606391772,-0.0545473854581074
13,1,11,0.5,8648,19,0.30810792719490526,0.11890411182887234,-0.020974828369971256
13,2,11,0.5,8648,19,0.3083303552899438,0.12269212495363979,-0.0632147373340563
13,1,11,1.0,8648,19,0.30668822667893275,0.11636364523624083,-0.021689281603275913
13,2,11,1.0,8648,19,0.30734542524337793,0.11891535753197877,-0.06178287271059614
13,1,11,5.0,8648,19,0.30278768446455523,0.12292157734160411,-0.025769185471990436
13,2,11,5.0,8648,19,0.30293124999655313,0.12400324096860446,-0.06628233396950496
13,1,29,0.0,8648,19,0.308383847537478,0.11778368235937925,-0.012428002281178612
13,2,29,0.0,8648,19,0.30898424704539457,0.12214827745366924,-0.04419340351020895
13,1,29,0.25,8648,19,0.30852365727832215,0.1194124767301029,-0.01395982783757116
13,2,29,0.25,8648,19,0.3089777568563281,0.12418261592450927,-0.052427913924484607
13,1,29,0.5,8648,19,0.3060853875095645,0.11669562022224905,-0.022293060537201592
13,2,29,0.5,8648,19,0.30611338773621355,0.1213176688080445,-0.058893646011372196
13,1,29,1.0,8648,19,0.3085165885653465,0.12088432993007377,-0.020555208101587803
13,2,29,1.0,8648,19,0.30701318034060976,0.12258172395679497,-0.05768704948256821
13,1,29,5.0,8648,19,0.3044949323985841,0.11861121568974393,-0.027390268639542338
13,2,29,5.0,8648,19,0.30597308919453114,0.11871453820738563,-0.07171682942411543
13,1,47,0.0,8648,19,0.3085994398759056,0.1251824553373882,-0.013305513669778538
13,2,47,0.0,8648,19,0.3090717950305089,0.128828526135264,-0.04783951594774151
13,1,47,0.25,8648,19,0.3092498747376586,0.12259502618143361,-0.015498320133464749
13,2,47,0.25,8648,19,0.30976863164854584,0.12646194633661362,-0.05273389563754234
13,1,47,0.5,8648,19,0.30906370331564625,0.12400877687283707,-0.01565640838125809
13,2,47,0.5,8648,19,0.30930756236624213,0.12636546811463412,-0.055400236420306226
13,1,47,1.0,8648,19,0.3094270629769592,0.12009435192386111,-0.01991134713435457
13,2,47,1.0,8648,19,0.3082896417897013,0.12223010516655984,-0.058566175403058356
13,1,47,5.0,8648,19,0.3058077891535219,0.12188381998897937,-0.024717927700033133
13,2,47,5.0,8648,19,0.304623857631918,0.1217977213269409,-0.06704253385294504
17,1,11,0.0,1367,10,0.18925901961627464,-0.032591377564834614,-0.09303305453166245
17,2,11,0.0,1367,10,0.18964633810296502,-0.019387936523055666,-0.10666981716227976
17,1,11,0.25,1367,10,0.18244670180206735,-0.0206302333390617,-0.11079476750944858
17,2,11,0.25,1367,10,0.17854503524397916,-0.009886055273359467,-0.12380029932233445
17,1,11,0.5,1367,10,0.1783322229215898,-0.014874052781766123,-0.09615486129284345
17,2,11,0.5,1367,10,0.17296055064134278,-0.008279645808021393,-0.19976341554412333
17,1,11,1.0,1367,10,0.20353514845455586,-0.047791582290658885,-0.11899380493434268
17,2,11,1.0,1367,10,0.19917316278362357,-0.035615710166348964,-0.20736993506154755
17,1,11,5.0,1367,10,0.16805803425334087,-0.037720168544181344,-0.09596060482484384
17,2,11,5.0,1367,10,0.1677607458139288,-0.036303196475144885,-0.1668193614192268
17,1,29,0.0,1367,10,0.1884863393320167,0.006166199104285822,-0.08802254153925877
17,2,29,0.0,1367,10,0.19020009135986826,0.013188536319417871,-0.13760097988150258
17,1,29,0.25,1367,10,0.18695007173760084,-0.006210293537080211,-0.09591764561579827
17,2,29,0.25,1367,10,0.18760705075245565,0.0018892543768614933,-0.1516747681649837
17,1,29,0.5,1367,10,0.18335977497660988,0.0001986963897243066,-0.08636094118293036
17,2,29,0.5,1367,10,0.18435671570554338,0.008087306307876999,-0.14547916019451435
17,1,29,1.0,1367,10,0.17900225931477654,0.010216433495321883,-0.0865631996495794
17,2,29,1.0,1367,10,0.16894151782656996,0.01426474345191055,-0.16176085433583465
17,1,29,5.0,1367,10,0.17624858827864495,7.288690140903366e-05,-0.12459780531148408
17,2,29,5.0,1367,10,0.16964839490060274,0.007067471513258204,-0.18384549458257016
17,1,47,0.0,1367,10,0.193191480187189,-0.007025961246656274,-0.10692485601420314
17,2,47,0.0,1367,10,0.1865855148800476,0.006556913336160616,-0.13326210499697713
17,1,47,0.25,1367,10,0.20129981632685406,-0.00485798872153074,-0.07903121665947141
17,2,47,0.25,1367,10,0.19315987902842804,0.0033825428143819773,-0.14996281449210158
17,1,47,0.5,1367,10,0.19489361243314163,-0.020704813373163582,-0.10168462616490134
17,2,47,0.5,1367,10,0.18671069583525604,-0.008082972747870953,-0.164137771846594
17,1,47,1.0,1367,10,0.21276556343045638,0.0013173504181423303,-0.09930914317486102
17,2,47,1.0,1367,10,0.2064236617109112,0.012342233256926849,-0.1838391142480862
17,1,47,5.0,1367,10,0.21293663133601673,-0.01361029125682047,-0.09178524629329111
17,2,47,5.0,1367,10,0.19811338556919955,-0.00642651130353931,-0.16609171884964405
19,1,11,0.0,3805,19,0.15417399215879374,0.11164994717856508,0.009921163208902312
19,2,11,0.0,3805,19,0.1537303064890702,0.11240640657156842,0.002121372687311551
19,1,11,0.25,3805,19,0.1560698950369786,0.11707950883230084,-0.0030553564160473723
19,2,11,0.25,3805,19,0.15487595188633357,0.117397743858274,-0.01850174533369031
19,1,11,0.5,3805,19,0.1604203675567275,0.10355553476311528,-0.018068802031037
19,2,11,0.5,3805,19,0.15925083190513045,0.10539201520962227,-0.04373628161504254
19,1,11,1.0,3805,19,0.15571334327021563,0.11785205701125702,-0.027720979216092602
