q,world,rank,scale,seed,skill,planted_sd,item_pp,person_pp
17,plant,10.0,0.05,29,-0.016247129329822085,0.16262508924054134,,
17,plant,10.0,0.08,29,0.0012495491175686935,0.2602001427848661,,
17,plant,10.0,0.12,29,0.014609377612023966,0.3903002141772991,,
17,plant,10.0,0.2,29,0.02369368017155349,0.6505003569621653,,
17,plant,10.0,0.3,29,0.030949269866626494,0.9757505354432479,,
19,real,,,11,0.02995465173675549,,18.401743143404445,20.878053240214093
19,margin,,,11,-0.010299478137214435,0.0,,
19,plant,2.0,0.05,11,-0.01254578594554756,0.08224776137386358,,
19,plant,2.0,0.08,11,-0.00041254713356742023,0.13159641819818174,,
19,plant,2.0,0.12,11,0.029374248825591476,0.19739462729727258,,
19,plant,2.0,0.2,11,0.10437667414863239,0.3289910454954543,,
19,plant,2.0,0.3,11,0.19365854533399463,0.4934865682431815,,
19,plant,5.0,0.05,11,-0.00842451738474792,0.1049728681693548,,
19,plant,5.0,0.08,11,0.0016860880078020113,0.1679565890709677,,
19,plant,5.0,0.12,11,0.03199635654374411,0.25193488360645155,,
19,plant,5.0,0.2,11,0.10695526302026848,0.4198914726774192,,
19,plant,5.0,0.3,11,0.1873619031033431,0.6298372090161288,,
19,plant,10.0,0.05,11,-0.009805162621163821,0.15078429170402974,,
19,plant,10.0,0.08,11,0.007046438864791615,0.24125486672644755,,
19,plant,10.0,0.12,11,0.04244988287660556,0.3618823000896713,,
19,plant,10.0,0.2,11,0.11244364291818143,0.603137166816119,,
19,plant,10.0,0.3,11,0.15543467142407996,0.9047057502241782,,
19,real,,,29,0.028015528427229097,,18.401743143404445,20.878053240214093
19,margin,,,29,-0.011051467754377486,0.0,,
19,plant,2.0,0.05,29,-0.01638935148513876,0.06381431197442779,,
19,plant,2.0,0.08,29,-0.011047678260254545,0.10210289915908445,,
19,plant,2.0,0.12,29,0.004105341395184592,0.15315434873862668,,
19,plant,2.0,0.2,29,0.05266356043000253,0.25525724789771115,,
19,plant,2.0,0.3,29,0.1267513749099185,0.3828858718465667,,
19,plant,5.0,0.05,29,-0.010699576326696714,0.11549798773105635,,
19,plant,5.0,0.08,29,0.0022278394557989634,0.18479678036969013,,
19,plant,5.0,0.12,29,0.030893020861096465,0.2771951705545352,,
19,plant,5.0,0.2,29,0.10942539940857843,0.4619919509242254,,
19,plant,5.0,0.3,29,0.18499323148426094,0.6929879263863379,,
19,plant,10.0,0.05,29,-0.008050184435535734,0.163301009252979,,
19,plant,10.0,0.08,29,0.012590832830597143,0.26128161480476636,,
19,plant,10.0,0.12,29,0.053506185614291546,0.39192242220714957,,
19,plant,10.0,0.2,29,0.12606480190065505,0.653204037011916,,
19,plant,10.0,0.3,29,0.1708086825843146,0.9798060555178739,,
29,real,,,11,0.0385448420426846,,21.466393469189185,18.4875711005623
29,margin,,,11,-0.006979209420357346,0.0,,
29,plant,2.0,0.05,11,-0.0099151019635223,0.07223999454138605,,
29,plant,2.0,0.08,11,-0.002484180479742415,0.11558399126621767,,
29,plant,2.0,0.12,11,0.018495508105903946,0.17337598689932648,,
29,plant,2.0,0.2,11,0.08546759415421457,0.2889599781655442,,
29,plant,2.0,0.3,11,0.17663450274343162,0.43343996724831624,,
29,plant,5.0,0.05,11,-0.008565418927516943,0.11394080425277528,,
29,plant,5.0,0.08,11,0.004840805561924122,0.18230528680444047,,
29,plant,5.0,0.12,11,0.04038663356769501,0.27345793020666065,,
29,plant,5.0,0.2,11,0.12554034378349255,0.4557632170111011,,
29,plant,5.0,0.3,11,0.22666214493969572,0.6836448255166516,,
29,plant,10.0,0.05,11,-0.002462646601939955,0.1598561065908266,,
29,plant,10.0,0.08,11,0.02367520285394198,0.2557697705453226,,
29,plant,10.0,0.12,11,0.06647150333550556,0.38365465581798386,,
29,plant,10.0,0.2,11,0.1459533676256558,0.6394244263633064,,
29,plant,10.0,0.3,11,0.2207428451234923,0.9591366395449595,,
29,real,,,29,0.035873309737521675,,21.466393469189185,18.4875711005623
29,margin,,,29,-0.010642191885714691,0.0,,
29,plant,2.0,0.05,29,-0.010719654811537693,0.06873197767368007,,
29,plant,2.0,0.08,29,-0.0054189677171117,0.1099711642778881,,
29,plant,2.0,0.12,29,0.00973869130173144,0.16495674641683217,,
29,plant,2.0,0.2,29,0.05774166818597559,0.2749279106947203,,
29,plant,2.0,0.3,29,0.1242786683333229,0.41239186604208045,,
29,plant,5.0,0.05,29,-0.003815647009342449,0.12921162621627044,,
29,plant,5.0,0.08,29,0.011355590705399377,0.20673860194603272,,
29,plant,5.0,0.12,29,0.051168271153696265,0.31010790291904905,,
29,plant,5.0,0.2,29,0.14742651013097208,0.5168465048650818,,
29,plant,5.0,0.3,29,0.25853943191118,0.7752697572976226,,
29,plant,10.0,0.05,29,-0.0046980529554923045,0.15000270590048642,,
29,plant,10.0,0.08,29,0.00972065985145254,0.24000432944077824,,
29,plant,10.0,0.12,29,0.043775190281096776,0.3600064941611673,,
29,plant,10.0,0.2,29,0.10880543041281443,0.6000108236019457,,
29,plant,10.0,0.3,29,0.1586665726337897,0.9000162354029184,,
39,real,,,11,0.03439736577825081,,16.180666296490553,21.537269435526156
39,margin,,,11,-0.018707972044330057,0.0,,
39,plant,2.0,0.05,11,-0.015362959998579395,0.07518538618893279,,
39,plant,2.0,0.08,11,-0.012239167636956094,0.12029661790229246,,
39,plant,2.0,0.12,11,0.0018011371500157303,0.1804449268534387,,
39,plant,2.0,0.2,11,0.040447278927647434,0.30074154475573117,,
39,plant,2.0,0.3,11,0.08973096089524935,0.4511123171335967,,
39,plant,5.0,0.05,11,-0.02939260529749088,0.11249907194719318,,
39,plant,5.0,0.08,11,-0.017413621730525852,0.17999851511550907,,
39,plant,5.0,0.12,11,0.0031999485187632626,0.2699977726732636,,
39,plant,5.0,0.2,11,0.057539281533579345,0.4499962877887727,,
39,plant,5.0,0.3,11,0.11276794217120911,0.6749944316831591,,
39,plant,10.0,0.05,11,-0.004266254510584155,0.17839126318162823,,
39,plant,10.0,0.08,11,0.014892133126861884,0.28542602109060516,,
39,plant,10.0,0.12,11,0.0369734132417181,0.4281390316359077,,
39,plant,10.0,0.2,11,0.0749847801115957,0.7135650527265129,,
39,plant,10.0,0.3,11,0.09564002605232291,1.0703475790897692,,
