item,block,f1,f2,f3,f4,f5,f6
Oil/lotion,36,0.018499430782831044,-0.033290356706564515,0.005309583374159116,0.012485558527310774,-0.020801706051618882,0.0241428623161806
"Pumps (e.g., breast/penile pumps)",36,-0.044619477338750324,0.000473234950668713,0.017773162455103426,0.00785025774840588,0.02983749690029548,0.015534690060840286
Scratching,36,0.027830778669192407,0.005088235627907587,-0.014552017944198699,-0.0013887341299335168,-0.016822163958710577,-0.008474905133246285
Sensory deprivation,36,0.0005307983011385194,0.03071856971062809,-0.00646684383113865,0.0065626011140238446,9.636157231655073e-05,-0.023790007295774653
Smells (bad),36,-0.013594169337976589,-0.013878051300815783,0.008405849183106863,-0.01263840852072819,0.0057503142058428595,0.022817755379327346
Smells (good),36,0.020886046013207663,-0.02909462222724931,0.0016444345321805305,-0.013730651578625356,-0.021414954121828082,0.00720733790850824
Spicy/tingling,36,-0.0015671241842292389,-0.012215712972834402,-0.005439879485006982,-0.008203451732544536,0.0012758679664047038,0.0023533573167086024
Stretching/fullness,36,-0.018920233946534016,0.022502979965540813,0.008190692423793557,0.017612353979234198,0.01652832234841928,-0.023672675202294744
"Stuffing (nonfood, typically in genitals)",36,-0.030362305488926888,0.014391120803148106,0.011676404780237798,0.013340724256604037,0.03176667686034544,-0.004132070979422902
Temperature (cold),36,0.013194354947054633,0.0054500757975113195,-0.009468939406567473,0.003139610281786652,-0.009722181027397227,-0.010057013217035013
Temperature (hot),36,0.01667376488042255,0.002052498532580877,-0.005275138627319706,0.003603746526298388,-0.007446474207776667,-0.019939249441300634
Texture (rough),36,0.005177207352019003,0.00849284375962585,-0.004087103046269449,-0.00481975138042245,-0.005308523291862092,-0.018441109782985493
Texture (soft),36,0.008647450865120337,-0.014034689155183131,0.0016266456149258228,-0.016875480838169796,-0.018603160427935334,-0.011274218269439766
Tickling,36,0.006524181137206336,-0.03279495218783463,0.00273115963199533,-0.014774439139013608,-0.0016999487177911715,0.019616184362490127
Vacuum/suckage,36,-0.03131265164976748,-0.017541257107444592,0.011294541185939502,-0.0010838874099615738,0.02244218566173277,0.024021845951170226
Wax play,36,0.013959342959908423,0.03523478829701976,-0.012420710274617152,0.0176872907077045,-0.00886795329143821,-0.029930520030615766
Age transformations (rapid aging),39,0.003408674759737523,-0.0059386108344182086,-0.004917918355381546,0.0005985324187453857,0.0014322136682488695,0.004493848791058614
Age transformations (rapid deaging),39,-0.0013106065910636028,0.00014315887621262375,-0.000921641233076056,-0.0008887534582623397,0.007279068595663365,0.01044635279121882
