q,world,mode,seed,alpha,hyp,I,P,C,W
29,real,soft,29,100.0,8.0,0.20347834782205249,0.09661154732397936,0.007097635743510882,0.03276249092653204
29,noI,soft,29,100.0,8.0,-0.00013449624127212512,0.08817369459904303,-0.0006396217508885619,-0.024049020802111343
29,noP,soft,29,100.0,1.0,0.19602849559018187,5.466548063975951e-05,-0.0006350081356983339,-0.00040592981329301553
29,noW,soft,29,100.0,4.0,0.203207257561819,0.09654047984293715,0.0008895024065022259,-0.016607798882043612
29,planted,soft,29,100.0,8.0,0.10096694389191324,0.0008311868762683656,0.030427870872500012,0.12025068546497633
29,real,hard,29,100.0,1.0,0.20353259733317172,0.08802025393813069,0.005334184019347552,0.006383260995498028
29,noW,hard,29,100.0,1.0,0.20009700740667513,0.08826281288693408,0.0009742638591286509,-0.06853497983671711
29,noC,soft,29,100.0,8.0,0.204080265042099,0.09698589630161764,-0.0016420954176626088,0.035327401997194016
29,real,soft,47,100.0,8.0,0.19875448059013429,0.10388489857018071,0.009283972042874972,0.037370698710979214
29,noI,soft,47,100.0,8.0,9.070009835780248e-10,0.09056640562350785,-0.0003738500556348482,-0.025199687948585042
29,noP,soft,47,100.0,2.0,0.191505284469133,-0.00013459522548352657,-0.0011806462101826472,-0.0005989849897932442
29,noW,soft,47,100.0,4.0,0.19368926235212677,0.10272234072527439,0.001098736945885109,-0.019238593318204832
29,planted,soft,47,100.0,8.0,0.1021995690251443,0.008031246012184773,0.01983130253624975,0.12073864447363399
29,real,hard,47,100.0,1.0,0.1981406115482564,0.09617979736687102,0.00727261057388114,0.001841555432162726
29,noW,hard,47,100.0,1.0,0.1896680438009983,0.09341348509801393,0.0012678603096111425,-0.06950859069099424
29,noC,soft,47,100.0,8.0,0.19922635278600492,0.10389278183378917,-0.0011286213296926955,0.039724382012499795
39,real,soft,11,100.0,4.0,0.10297080728095549,0.10725849987479069,0.00812798734708961,0.026413359468334903
39,noI,soft,11,100.0,4.0,1.1819362155662816e-10,0.10612317629161795,-0.0019326550891903826,-0.03618135252079753
39,noP,soft,11,100.0,2.0,0.11403316862042341,-0.001100847230498303,-0.00522490979155484,-0.0030051572597603604
39,noW,soft,11,100.0,4.0,0.08051501250836993,0.11911087845714995,-0.003480782944589589,-0.03448905569163827
39,planted,soft,11,100.0,8.0,0.055244059507720274,-0.0006650302668953223,0.03832444754907664,0.08305736849994397
39,real,hard,11,100.0,1.0,0.10250341971490319,0.09529820350367853,0.005592412353111679,-0.007401958990224073
39,noW,hard,11,100.0,1.0,0.07887861467462423,0.10571878985906086,-0.0031403870370371916,-0.12580184931450247
39,noC,soft,11,100.0,4.0,0.10281309944150552,0.10881081776675233,-0.0026918304686586736,0.027411098553562052
39,real,soft,29,100.0,4.0,0.1180802170043063,0.10721226597483473,0.009106404539335746,0.025134382890659085
39,noI,soft,29,100.0,8.0,-6.119975008248938e-09,0.07317067276723732,-0.005230342143632438,-0.020458718609824417
39,noP,soft,29,100.0,1.0,0.1255335345755647,-0.00014834525295547477,-0.00545183854355788,0.0008380558719744505
39,noW,soft,29,100.0,4.0,0.10965560110250301,0.09950719791598768,-0.009743663961688805,-0.032591577631638696
39,planted,soft,29,100.0,8.0,0.05436178161777852,-0.00034595518488482924,0.014133302952610272,0.10241619697788432
39,real,hard,29,100.0,1.0,0.1166679938130334,0.09733474525079934,0.0070967538298880774,-0.032289476406473894
39,noW,hard,29,100.0,1.0,0.10699103673883789,0.08687504379079738,-0.008858326078088933,-0.14363829880184684
39,noC,soft,29,100.0,4.0,0.11840518072856411,0.10669719465767054,-0.0036046920253178143,0.026845138745589404
39,real,soft,47,100.0,4.0,0.12431450589855157,0.0956223020121376,0.008160609789674162,0.02307696490752579
