q,Kw,seed,world,arm,brier_I,brier_P,brier_C,brier_W,l1_I,l1_P,l1_C,l1_W
4,8,29,real,permC,0.2468188370727202,0.05012803456161115,-0.0008448320189419582,-0.0540594231057924,0.23718157853300129,0.0723620490729357,0.00023069085811024587,0.05775487575723801
7,1,11,real,real,0.09768459416113064,0.11387273600843945,0.013318366277107758,0.06694336918210061,0.08180144321809324,0.16081577611612324,0.017447094752471866,0.11494050312303797
7,1,11,null,real,0.11413866700748253,0.0902451046961705,-0.003932859884580077,-0.0987705006398031,0.09029630420856632,0.15921478746925116,-0.0006866662117066176,0.001329627461967834
7,1,11,real,permC,0.09839269016684807,0.10982909185010536,-0.001311194740327435,0.07757733674563341,0.08224507897155729,0.16185301337894595,9.82409211527831e-05,0.11744263582745006
7,2,11,real,real,0.09519187312589135,0.11998557781874376,0.014436841817626526,0.05286134061743673,0.08147094764424194,0.15968736754616147,0.017043593628430713,0.13354169383734266
7,2,11,null,real,0.11300067950489907,0.09866165640644001,-0.003668423579251512,-0.17878658248648474,0.08896767528455216,0.15613718696551027,-0.000821724976063698,0.009455877312945319
7,2,11,real,permC,0.09522216751300144,0.11743254109013118,-0.0014804824427123349,0.06220754493806587,0.08182960938539724,0.16084372705883612,0.00016892096431845674,0.13651800770896158
7,4,11,real,real,0.0950204138205269,0.13242533796802514,0.014672848612925374,-0.06361394396843208,0.08168434454818713,0.151542697347417,0.016166025036360138,0.1205875686867225
7,4,11,null,real,0.10932621129476922,0.12333455015954563,-0.00193518787755508,-0.35181700155832163,0.08791106745090078,0.14702897498308534,-0.00036671039128074084,-0.026801728402211306
7,4,11,real,permC,0.09490560233946388,0.1319314029129794,-0.0006433360760245607,-0.05366660007641401,0.08191664653327872,0.15233883529890807,0.0003650226316328405,0.1246375528177264
7,8,11,real,real,0.10626281331219319,0.12735384307221964,0.01952608323524953,-0.14813217660668293,0.07560313770719312,0.1477868079901333,0.017492264157231152,0.0380813724544798
7,8,11,null,real,0.1177301045493456,0.12217818893130702,-0.002998422105646131,-0.174586320533591,0.0880485571318903,0.1443996151058096,-0.0007520616974025599,-0.0228380334664094
7,8,11,real,permC,0.10671586989601145,0.12447362608835458,-0.0007336901800210164,-0.1431284214409855,0.07592206931325901,0.14857559606265575,0.00043806324728639284,0.04087815808026622
7,1,29,real,real,0.08479188156748882,0.12496657667723926,0.018258110761548214,0.0652100083919318,0.07193159703734231,0.16298942179093737,0.02052284311100779,0.11270182152425756
7,1,29,null,real,0.10408569932097043,0.09259338498550743,-0.00245554659241314,-0.11216106304947678,0.08347197458651845,0.16216953244866977,0.00021230327941341534,-0.006042504012634814
7,1,29,real,permC,0.08451663469520737,0.12159546817126853,-0.0009818256601980635,0.07710302462393039,0.07224919104185137,0.16483119018069436,0.00045702160452953944,0.1151288213998158
7,2,29,real,real,0.08209321393155218,0.13051848324573878,0.01785701970924556,0.04465584829539122,0.0714450148712472,0.15782042207617453,0.019447110885984015,0.13373857105440629
7,2,29,null,real,0.10276659396248339,0.10711381561441752,-0.0016348176138697157,-0.19440560337691506,0.08287640617897507,0.15771004977481662,0.0005102923625969202,-0.007373420834296818
7,2,29,real,permC,0.08218211733356282,0.1297929158897399,-0.001234022605792149,0.05669775863409836,0.07169354113162174,0.15986022996817303,0.0003530731681252822,0.13713735471858401
7,4,29,real,real,0.08240768937986748,0.13297276556839166,0.019804650038402528,-0.08171250398535909,0.07114939090745143,0.1465659570204063,0.01886083614206806,0.11890675786908673
7,4,29,null,real,0.09890761960208093,0.13540632537083247,-0.0015839213138559665,-0.384195648330853,0.08041525841265096,0.1496165012726566,7.483118806244268e-05,-0.032318917791815144
7,4,29,real,permC,0.08271274797525943,0.13201240121916888,-0.0014809915215242553,-0.07186519289154103,0.0710809705287232,0.14720529376801714,8.226801942287643e-05,0.12262101112847805
7,8,29,real,real,0.08951759123457617,0.14094091572611794,0.02679327378125514,-0.194889153604974,0.06709517239201956,0.15658121944972914,0.02161158375790556,0.01642978963747871
7,8,29,null,real,0.10565759964302039,0.14857897368958714,-0.0025276589705698995,-0.22855383854166014,0.07999041813429401,0.15015020281658373,0.00013400269471213383,-0.04927324645696469
7,8,29,real,permC,0.08954717553851463,0.14045135262399394,-0.0019394502492975732,-0.19248892498178186,0.06682505094136137,0.1579357477666966,0.000309969597156771,0.017620996858766412
8,1,11,real,real,0.12931389298102902,0.09866607894000938,0.0029938262439728838,-0.05234371556181982,0.10379394337989964,0.1634581312276694,0.004733354698653935,0.02831427741271114
8,1,11,null,real,0.13381101822864155,0.09103679953783016,-0.002555712688475413,-0.10819813002818375,0.1027535608610507,0.1654794545346495,-0.00030516463269051697,-0.003183243229420818
8,1,11,real,permC,0.12979421395257723,0.09798173529319645,0.00018991797984890807,-0.051642071473435025,0.10380874035863542,0.1638887628785711,0.0006285054147647332,0.028754292799084414
8,2,11,real,real,0.12901462336330077,0.11026076480346429,0.001546291000072151,-0.08906419976275744,0.10375228874737154,0.16017092961238139,0.0039036544156852517,0.052107449698383275
8,2,11,null,real,0.13098669415060438,0.10023089013826926,-0.002306285301033717,-0.17704222047591814,0.10227630413233427,0.15949674626365976,-0.00025217010023688885,-0.0010174355646021906
8,2,11,real,permC,0.12918691921737296,0.10988157920313708,0.00024360558708510127,-0.08686133282323572,0.10378259193144046,0.16079142566806057,0.00039864117918000003,0.0531473011321405
8,4,11,real,real,0.13115671078877775,0.11926380403472783,0.0027430801844286015,-0.10433443766545981,0.09882214895461933,0.1498880546731428,0.004347493693445226,0.08432727234768238
8,4,11,null,real,0.12721994061263378,0.12021595109511705,-0.0012445945500068705,-0.3177896674519729,0.09923239256986206,0.15194134454151095,-5.156021893581994e-05,-0.016714658047880176
8,4,11,real,permC,0.13204328543770683,0.11943842156951258,-5.135080692756809e-06,-0.1035771005780724,0.09903231655109081,0.150643342666746,0.00038341574159324776,0.08490805906609288
8,8,11,real,real,0.13127978819890176,0.1316055854100904,0.0039264607920416195,-0.20525584962224816,0.09532213123652662,0.14984764625085784,0.004931781696079015,0.00012143453292797445
8,8,11,null,real,0.13410530752532512,0.13811211472596283,-0.0019413162439613219,-0.1980571829008897,0.10114399849769959,0.15265875796570963,-0.00029257904928936535,-0.049404506415478
8,8,11,real,permC,0.13216618173466108,0.13112461690163418,-0.000499576077669206,-0.20617633413945022,0.09555984605178115,0.14991978443769155,0.0004869439571326683,0.00022146146424410415
8,1,29,real,real,0.1253741857711827,0.12672766919265427,0.0013261189661563644,-0.04678506436583681,0.10058043764146331,0.18578137014846038,0.004670738640071143,0.03010028969101755
8,1,29,null,real,0.11544440524011186,0.13656728340434768,0.00032758649774316156,-0.08929495775129262,0.0954506115674164,0.18992351347948702,0.0007813474009246146,0.001852866188938855
8,1,29,real,permC,0.12558744855915407,0.1261450259987563,-0.00042285203290575357,-0.04626889960887421,0.1007323045330957,0.18674093849480983,0.0004983776864070921,0.030653582454578256
