qi,option,loading,z_in_block,endorse_rate
53,Dresses,0.2829426523724313,1.010098516414473,0.6549809094064561
53,Fishnets,0.28053518184670295,0.9826637268964095,0.6921207913918778
53,Glasses,0.21891890347920867,0.2805036755756667,0.5241235682054842
53,Gloves,0.15053943686648963,-0.49872757723887023,0.23880597014925373
53,Lingerie,0.1981313891951366,0.043615592048782625,0.835820895522388
53,Miniskirts,0.24154594972443758,0.5383544963933091,0.7688302672683096
53,Other,0.02434245184049676,-1.9368293878331415,0.1895175286358903
53,Panties,0.2352318627856932,0.466401114488126,0.7844498438042347
53,Pants,0.09815511728297072,-1.0956830815584933,0.22040958000694202
53,Shoes (high heel),0.28312680693998077,1.0121970849101267,0.44949670253384244
53,Shoes (non high heel),0.10096704390978126,-1.0636392354044701,0.13259284970496354
53,Skirts,0.27712970908002427,0.9438560125070254,0.7244012495661228
53,Socks/stockings,0.2742002907165496,0.9104732668603422,0.6778896216591461
53,Suspenders,0.12395483318436973,-0.8016774985964464,0.2280458174245054
53,Thongs,0.2541133086290595,0.6815682315820087,0.6966331135022562
55,Biting/scratching/scrapes,0.07408208633988643,-1.4221831267876885,0.8148589590782678
55,"Breaking skin (needles, cutting, etc.)",0.21381192639331495,-0.05865565707671249,0.18990862137465236
55,"Burning (figging, hot wax, fireplay etc.)",0.31990663105427525,0.9766496445022318,0.3418752483114819
55,Clamping/pinching,0.3188054875394562,0.9659043417810969,0.5335717123559793
55,"Discomfort (punishment ties, achey knees, etc.)",0.3214034831033244,0.9912563948298014,0.3822010329757648
55,Electricity/tingling,0.2735309988595905,0.524101724899043,0.2137465236392531
55,"Impact: stingy (e.g. riding crop, belt)",0.389629405008006,1.657026273531574,0.4495431068732618
55,"Impact: thuddy (e.g., paddle, flogger, fist)",0.36840472665684204,1.4499092256874915,0.4843067143424712
55,Pumps,0.2115275295644177,-0.08094751561409451,0.16607071911005164
55,Punching,0.13183426670081264,-0.8586192929801405,0.09614620580055622
55,"Sexual exhaustion (e.g., long sex until raw, then continuing",0.23988328209933732,0.19575678384624723,0.6277314263011522
55,"Sharp (wartenberg wheels, getting poked, etc.)",0.14047827569023905,-0.7742683504684711,0.07449344457687723
55,Slapping,0.1712898279528522,-0.47359958939034985,0.6805721096543504
55,Sounding,0.05240487817287235,-1.6337161020710274,0.052046086611044894
55,"Squeezing/compression (stepping on balls, heavy weight, etc.",0.15092876276621225,-0.6722892299420294,0.1243543901470004
55,"Stinging (insects, nettles, etc.)",0.07845277422246483,-1.3795325878108327,0.03357171235597934
55,"Stretching (e.g., huge insertions)",0.28061268812739487,0.5932070630638653,0.30552244735796585
62,Castration,0.07853184713091098,-1.4425779424209684,0.05620953502060035
62,Cuckoldry,0.08511373669718551,-1.3650616777302425,0.35344320188346084
62,"Defilement (to corrupt, dirty, violate)",0.27671508911501325,0.8914667856496131,0.4067098293113596
62,Facesitting,0.15000135001984674,-0.6008669341353787,0.5361977633902295
62,Flaccid play,0.1402167755863305,-0.7161018760221138,0.151854031783402
62,Forced consumption of desireable things,0.24561995290368424,0.5252529826252834,0.2786933490288405
62,Forced consumption of undesireable things,0.1977613538156155,-0.03838756425461375,0.16509711595055915
62,Humiliation for sexual inexperience,0.2973608938558307,1.1346166666872093,0.46615656268393174
62,Humiliation for sluttiness,0.22352377400247364,0.26502174733742745,0.7266038846380224
62,Impotence,0.1233970331790052,-0.9141914354636329,0.10682754561506769
62,Insults,0.28659321797195486,1.0078035371878484,0.5532666274278988
62,Objectification,0.29816472676031147,1.144083571831003,0.6041789287816363
62,Other body part humiliation,0.1639593577839632,-0.4364806111040014,0.10829899941141848
62,Photography/videography,0.2970321092096572,1.1307445024093976,0.40641553855208945
62,Public humiliation,0.29498748152965987,1.106664502457899,0.32107121836374336
62,Religious humiliation,0.10911653029340874,-1.082375849749261,0.07386698057680989
62,Scat,0.05702751044314132,-1.695838930455314,0.04973513831665686
62,Small penis humiliation,0.11043789402152988,-1.0668138778458434,0.16450853443201882
62,Urine,0.191798124989117,-0.10861773440130977,0.22424955856386108
62,Verbal degredation,0.27432956692166616,0.8633720010283998,0.6453796350794585
62,Writing on bodies,0.31974918232850624,1.398288136368604,0.3805179517363155
63,Behavioral restrictions (e.g. limits on speech),0.2765350173879994,0.6659817768595842,0.2548432194927102
63,Bootblacking (polishing shoes submissively),0.08905295112608234,-1.5318501981770773,0.05032953864589575
63,"Breath play (choking, asphyxiation)",0.09775310048755806,-1.429859288670389,0.7299780307569402
63,Disempowerment (stripping power away from a powerful person),0.26467650112703717,0.5269656739624445,0.28699820251647695
63,Financial domination,0.10223234787636303,-1.3773495562383715,0.09227082085080887
63,Internal Enslavement (behavioral restrictions are internally,0.21226934450933532,-0.08739775199973261,0.1304174156181346
63,"Marking as property (e.g., branding, collars)",0.395487756476877,2.0604518651212156,0.43399241062512484
63,Orgasm denial,0.2455962970513977,0.3032905062849085,0.6291192330736968
63,Orgasm overload,0.1777177873985088,-0.4924419171274621,0.7245855801877372
63,Ownership,0.37722491011586967,1.8463584934846498,0.4200119832234871
63,Petplay (master/pet roleplay),0.2938843924324569,0.8693666231005137,0.2800079888156581
63,"Physical struggle/overpowering (e.g., pinning)",0.18852062371658362,-0.3658014359638778,0.6988216496904334
63,"Powerbottoming (enthusiastic submissive, often queer)",0.18542718580396772,-0.40206547386732044,0.2546434991012582
63,Service/utility submission (performing service tasks),0.2710706523274335,0.6019236165627642,0.22408627920910726
63,Sexual education,0.18339408637014412,-0.4258992785249028,0.21669662472538445
63,"Sexual training (e.g., to give deeper blowjobs)",0.2654258402212777,0.5357500950769741,0.6580786898342321
63,World of femaledom,0.13302495649529353,-1.0163711375189588,0.1603754743359297
63,World of maledom,0.19574996824430932,-0.28105261236495993,0.1877371679648492
67,Abductions/kidnappings,0.323959270097741,1.5260590847850684,0.5325946445060018
67,"Body control (directly controlling a body, e.g. voodoo)",0.19614742857685633,-0.9292725802075514,0.4118190212373038
67,Coercion/blackmail,0.3203995072905478,1.4576741977796155,0.40110803324099725
67,Dub-consensual (unclear consent),0.23771134365223154,-0.13080824708113134,0.4550323176361957
67,Forced nudity,0.2991234345986608,1.048949823218916,0.5266851338873499
67,Forced orgasms,0.17931025220749958,-1.2527234576600286,0.7499538319482918
67,Frotteurism (e.g. humping in a crowded subway),0.2443417808011799,-0.003434115773460967,0.2742382271468144
67,Inebriation,0.18919849900565416,-1.0627651158830373,0.18264081255771006
67,Rapeplay,0.23434854879772263,-0.19540927771256,0.6847645429362881
67,Sex trafficking,0.21966328534177362,-0.4775207936964584,0.13167128347183749
67,Sexual slavery,0.32880757244095726,1.6191974835680296,0.40498614958448753
67,Slave auctions,0.21184858506409468,-0.6276452329963681,0.14090489381348106
67,Stalking,0.25089404536860194,0.12243827976018504,0.21052631578947367
67,Struggling/fighting,0.2736907205185699,0.560374215008568,0.5658356417359187
67,Wartime raids,0.1508938429676047,-1.798617395043772,0.10267774699907664
67,Weapon threats (e.g. gunplay),0.25199057240243816,0.14350313193398448,0.21514312096029548
73,Aliens,-0.2889894912620601,-0.9834534749366142,0.33864207879295893
73,Angels,-0.3082204287806709,-1.2164424801605387,0.45683151718357085
73,Cartoons,-0.27413332487712333,-0.8034662317708657,0.4979044425817267
73,Demons,-0.24339285231657817,-0.43103550055646067,0.719195305951383
73,Dinosaurs,-0.08606078835869992,1.4750931546845178,0.05155071248952221
73,Dragons,-0.25822075132065625,-0.6106802752939188,0.35582564962279967
73,Elves/fae,-0.26065866337735855,-0.6402163654800986,0.625314333612741
73,Ghosts,-0.2884909316955944,-0.9774132651276388,0.2573344509639564
73,Hentai characters,-0.22952284694656575,-0.26299591587774535,0.6546521374685667
73,Jesus,-0.014040249636557518,2.3476451899830666,0.010477787091366304
73,My Little Pony characters,-0.08910698968014694,1.438187444034223,0.09010896898575022
73,Orcs/ogres/golems,-0.24485207603247897,-0.448714466110681,0.2154233025984912
73,Robots/cyborgs,-0.2703115681101069,-0.7571644169740968,0.22967309304274938
73,Slime/goo people,-0.2512494974761395,-0.5262212884751241,0.24015088013411567
73,Superhero/villain characters,-0.24842562616902705,-0.4920091775945288,0.5599329421626152
73,Undead (zombies),-0.12185091676127653,1.0414842156880162,0.07711651299245599
73,Unicorns,-0.10511465233708601,1.2442494524625145,0.0683151718357083
73,Vampires,-0.16713314647862607,0.4928754104253274,0.6860854987426656
73,Video game characters,-0.2611371167684381,-0.6460129824950391,0.6085498742665549
73,Werewolves,-0.14539079760037996,0.7562909735756778,0.5100586756077117
77,Anal beads,0.35372334126727395,1.6172955625319467,0.41665014866204164
77,Anal dildos (huge),0.23367078695239754,0.3951120497311365,0.17423191278493558
77,Anal dildos (normal),0.3607536572335808,1.6888670198227629,0.43825569871159564
77,Anal hooks,0.17873629310514727,-0.16414329512450496,0.11912784935579782
77,Buttplugs,0.31437030106307196,1.2166657117916266,0.5972249752229931
77,Double ended dildos,0.31829098606664014,1.2565798693669699,0.3290386521308226
77,Fuck machines,0.3001786683148557,1.0721891559733996,0.507234886025768
77,Pumps (breast),0.1976139599689099,0.02803898148514721,0.17502477700693755
77,Pumps (penis),0.12706782965233585,-0.6901491308533352,0.11813676907829535
77,Pumps (pussy),0.1968504312217948,0.020265950318929814,0.20257680872150644
77,Remote control toys,0.13489919109024837,-0.6104227069815302,0.7821605550049554
