q,K,seed,world,n,m,I,P,X
42,1,47,g0,1665,18,0.044174812379746145,0.04100346047680749,-0.015736903679216853
42,1,47,g1,1665,18,0.10278518145742513,0.061818383140215316,0.13390047576539887
42,2,11,real,1665,18,0.16810719669622554,0.0732298510511758,0.06491362009346041
42,2,11,g0,1665,18,0.029251599953080167,0.04120286115566899,-0.023781247406649626
42,2,11,g1,1665,18,0.10414024926077942,0.04256503731219631,0.03402509179153325
42,2,29,real,1665,18,0.166675712355229,0.0792188016442418,0.08687114994668407
42,2,29,g0,1665,18,0.026293280071384335,0.039331020101962835,-0.017591245221820297
42,2,29,g1,1665,18,0.10238848839845964,0.08356654019235754,0.06795336369631794
42,2,47,real,1665,18,0.14462858936728845,0.08728967637093128,0.07563456267593101
42,2,47,g0,1665,18,0.030583763008077837,0.043442687838896966,-0.018949699513335045
42,2,47,g1,1665,18,0.10117604121138159,0.0656940742771241,0.08430607816822568
48,1,11,real,2915,10,0.2155779961322492,0.043148600750100775,0.09942549651986396
48,1,11,g0,2915,10,0.0968906671784859,-0.018016179877533862,-0.05236427801914424
48,1,11,g1,2915,10,0.13871239513981243,0.05463785749152011,0.11630282459563666
48,1,29,real,2915,10,0.22145887704964273,0.050426730111891006,0.11652161720955975
48,1,29,g0,2915,10,0.08042407213860486,-0.01885712862979092,-0.05723029595117621
48,1,29,g1,2915,10,0.11396748615857101,0.046391690530613774,0.14528566436807216
48,1,47,real,2915,10,0.22996072657127714,0.04213381233479674,0.11000347485616818
48,1,47,g0,2915,10,0.08651634043491893,-0.01700888247143286,-0.05820931577531603
48,1,47,g1,2915,10,0.12656417782554708,-0.00270013392438745,0.2117939555418769
48,2,11,real,2915,10,0.2141485623571789,0.06070909694982299,0.028428617857698547
48,2,11,g0,2915,10,0.0798375690500659,-0.003436225469514536,-0.09622760662846316
48,2,11,g1,2915,10,0.13940688633448217,0.057298605772433946,0.03203111222747501
48,2,29,real,2915,10,0.22147017579067557,0.06343264881769392,0.04519719227194933
48,2,29,g0,2915,10,0.07272100042123955,-0.0038312872945819483,-0.09866978699140583
48,2,29,g1,2915,10,0.11377656479899431,0.04781277725403047,0.05520214113900721
48,2,47,real,2915,10,0.2296138872675026,0.057431346381395645,0.04628838273966114
48,2,47,g0,2915,10,0.07136081748743034,0.00011936408470830662,-0.09673098547090331
48,2,47,g1,2915,10,0.12874204878980036,0.0018418417691240321,0.1095456271813939
51,1,11,real,1260,22,0.2596782227190399,0.005130922230070019,0.20880171341167414
51,1,11,g0,1260,22,0.039396848905957606,0.04063907958731831,0.004675251367013501
51,1,11,g1,1260,22,0.13623761328987458,0.006392703190279495,0.10339477145006618
51,1,29,real,1260,22,0.21452814045056343,0.0028337618407524947,0.21377454911061874
51,1,29,g0,1260,22,0.031043636941458435,0.03818539743795694,0.0016019964697661475
51,1,29,g1,1260,22,0.11330027869199033,0.014989041109798613,0.21176449753062326
51,1,47,real,1260,22,0.25088022858642955,0.006643480718908912,0.19259903525518662
51,1,47,g0,1260,22,0.0424247015117087,0.038651099341921916,0.004059242629329237
51,1,47,g1,1260,22,0.15169336517252863,-0.010690597447409578,0.10915547825466648
51,2,11,real,1260,22,0.24030738697683424,0.0043051388264457495,0.20415835430072266
51,2,11,g0,1260,22,0.07515190665737356,0.031136520081112708,-0.004789905402253676
51,2,11,g1,1260,22,0.11407902505158918,0.007255900593123088,0.0734077508996298
51,2,29,real,1260,22,0.19218254845830657,0.0017264252501092243,0.20797306796432116
51,2,29,g0,1260,22,0.06358714552238995,0.028030396764956868,-0.005315682794133155
51,2,29,g1,1260,22,0.09987850207079765,0.01451989928049722,0.17860962501717567
51,2,47,real,1260,22,0.2336584156938302,0.004152805163930573,0.1946050112203012
51,2,47,g0,1260,22,0.08095414633341105,0.028662381975374664,-0.01105245514583127
