q,K,seed,world,n,m,I,P,X
51,2,47,g1,1260,22,0.12290758627999519,-0.008781481226226793,0.08698091481097148
53,1,11,real,2881,22,0.23647104444748773,0.1045634787859901,0.029170323285893363
53,1,11,g0,2881,22,-0.006855914584096216,0.004989121858179863,-0.03785035945334506
53,1,11,g1,2881,22,0.12264554028583849,0.08153582979281568,0.16323569694446596
53,1,29,real,2881,22,0.24533582454171585,0.1084523600886215,0.016457710114672175
53,1,29,g0,2881,22,0.023648708792676738,0.0005301308308093469,-0.031765338401173994
53,1,29,g1,2881,22,0.14427642596384602,0.09268517185344824,0.11656936188137271
53,1,47,real,2881,22,0.23830636478290107,0.11102170901076613,0.02714178698691799
53,1,47,g0,2881,22,-0.006696577609368074,0.019859855645560216,-0.045049274988580496
53,1,47,g1,2881,22,0.1717316203766842,0.07503758822978512,0.07642340518289215
53,2,11,real,2881,22,0.23681798694379894,0.10532039434070177,0.03241794684720384
53,2,11,g0,2881,22,-0.012638857059279066,0.009324495977172071,-0.0729580744426678
53,2,11,g1,2881,22,0.12174746917970308,0.07926533468314545,0.12906849730658715
53,2,29,real,2881,22,0.245356893338826,0.10866599635937416,0.010550973791944898
53,2,29,g0,2881,22,0.01959565212317116,0.0071398624885073425,-0.06484550578803211
53,2,29,g1,2881,22,0.1431285657848484,0.09346322539239599,0.08441511536437818
53,2,47,real,2881,22,0.2400718014911974,0.11204652381870549,0.016043307288965913
53,2,47,g0,2881,22,-0.011756925389502865,0.026589649198759203,-0.07348768617237707
53,2,47,g1,2881,22,0.17246025935799902,0.0746178398445715,0.022194402243413475
55,1,11,real,5034,17,0.23957609115047457,0.08376399997240833,-0.01429748691404405
55,1,11,g0,5034,17,0.0668275551199873,0.03653667171863352,-0.015444042446400666
55,1,11,g1,5034,17,0.1374039328963223,0.06321076104977152,0.10232451444037644
55,1,29,real,5034,17,0.25949996687397775,0.08616534983273258,-0.0015523704193786865
55,1,29,g0,5034,17,0.0696322767620824,0.04520714724464188,-0.015099062437094893
55,1,29,g1,5034,17,0.16313785904510508,0.03704488135384654,0.1103689493010806
55,1,47,real,5034,17,0.26380532593317035,0.0876248006977829,-0.01072333242451238
55,1,47,g0,5034,17,0.0631279384532927,0.03772522486435002,-0.02356593041423673
55,1,47,g1,5034,17,0.120406804188818,0.035372315195129636,0.18620750990289686
55,2,11,real,5034,17,0.23181331590827417,0.08849709233573265,-0.053208257780680224
55,2,11,g0,5034,17,0.05022526747621521,0.03902015325353454,-0.027374285836889313
55,2,11,g1,5034,17,0.13254078982860623,0.07173363882977941,0.03223595114510332
55,2,29,real,5034,17,0.2517855996813009,0.08971991039934443,-0.03948215349546548
55,2,29,g0,5034,17,0.054181197330583214,0.04833915299193861,-0.025933783880864775
55,2,29,g1,5034,17,0.15982599164014288,0.04049479811840585,0.04026528107249512
55,2,47,real,5034,17,0.2561826755235874,0.09119626836560119,-0.05113379727080796
55,2,47,g0,5034,17,0.049457440050358625,0.039793925736072044,-0.032141082109670704
55,2,47,g1,5034,17,0.11875469386770039,0.037199818201727644,0.11780404459818201
62,1,11,real,3398,21,0.19528109266979704,0.08752328255014205,0.00905060476697143
62,1,11,g0,3398,21,0.054670694971460376,0.038903046001389274,-0.018621617701328308
62,1,11,g1,3398,21,0.09327602347609881,0.03601650881414366,0.2043078669541255
62,1,29,real,3398,21,0.19087068428406428,0.0847421804938306,0.016404809803564086
62,1,29,g0,3398,21,0.0528667150118616,0.0443606687945446,-0.01106275210035749
62,1,29,g1,3398,21,0.13023057682435182,0.06468088275998421,0.07270414350308721
62,1,47,real,3398,21,0.18854178087704943,0.08339532324625187,0.013474761024348412
62,1,47,g0,3398,21,0.05620939431371447,0.0380141329841267,-0.011552233097296194
62,1,47,g1,3398,21,0.11907951015253007,0.03541886869244152,0.20552681349607418
62,2,11,real,3398,21,0.19010573350993404,0.09134200412624917,-0.012497890022431382
62,2,11,g0,3398,21,0.039873510442654726,0.04217949421888815,-0.026932357261647576
