v_page,v_val,v_kind,v_win
README.md,0.110,孤立,100
README.md,0.030,可核而未核,100
README.md,0.042,可核而未核,100
README.md,−0.025,孤立,100
README.md,−0.047,孤立,100
README.md,+0.0985,孤立,100
README.md,+0.0515,孤立,100
README.md,−0.061,可核而未核,100
README.md,−0.267,可核而未核,100
README.md,+0.1477,孤立,100
README.md,+0.1715,孤立,100
README.md,1.21%,孤立,100
README.md,0.67,孤立,100
README.md,0.994,孤立,100
README.md,102%,孤立,100
README.md,−0%,孤立,100
README.md,+0.986,孤立,100
README.md,67%,孤立,100
README.md,+0.26,孤立,100
README.md,+0.60,孤立,100
README.md,4.5%,孤立,100
README.md,+0.5631,孤立,100
README.md,+0.2036,孤立,100
README.md,+0.1512,可核而未核,100
README.md,0.57,可核而未核,100
README.md,0.83,可核而未核,100
README.md,2.8%,孤立,100
README.md,−0.0589,孤立,100
README.md,+0.1012,孤立,100
README.md,+0.1601,孤立,100
README.md,+0.0015,可核而未核,100
README.md,+0.1692,孤立,100
README.md,−0.0522,孤立,100
README.md,−0.0494,孤立,100
README.md,+0.1255,孤立,100
README.md,0.9083,可核而未核,100
README.md,0.3423,可核而未核,100
README.md,−0.0328,可核而未核,100
README.md,4%,孤立,100
README.md,+0.0674,孤立,100
README.md,0.105,孤立,100
README.md,−0.0910,孤立,100
README.md,+0.0370,孤立,100
README.md,0.054,可核而未核,100
README.md,+1.018,孤立,100
README.md,+0.2922,孤立,100
README.md,+0.2523,孤立,100
README.md,−1.34,可核而未核,100
README.md,−1.44,可核而未核,100
README.md,0.50,可核而未核,100
README.md,−1.42,可核而未核,100
README.md,0.90,孤立,100
README.md,18,孤立,100
README.md,16,孤立,100
README.md,+0.002,可核而未核,100
README.md,+0.016,可核而未核,100
README.md,+0.54,孤立,100
README.md,+0.797,孤立,100
README.md,36,孤立,100
README.md,6,孤立,100
README.md,30,孤立,100
README.md,0.000,孤立,100
README.md,0.727,孤立,100
README.md,0.037,孤立,100
README.md,10,孤立,100
README.md,3,孤立,100
README.md,24,可核而未核,100
README.md,0.473,孤立,100
README.md,0.529,孤立,100
README.md,0.326,孤立,100
README.md,+0.203,孤立,100
README.md,0.425,孤立,100
README.md,0.140,孤立,100
README.md,0.217,孤立,100
README.md,+0.285,孤立,100
README.md,0.589,孤立,100
README.md,0.375,孤立,100
README.md,0.093,孤立,100
README.md,+0.07,孤立,100
README.md,0.136,孤立,100
README.md,0.050,孤立,100
README.md,78%,孤立,100
README.md,97%,孤立,100
README.md,+0.137,孤立,100
README.md,0.95%,可核而未核,100
README.md,0.597,孤立,100
README.md,12.4%,孤立,100
README.md,0.437,孤立,100
README.md,86%,孤立,100
README.md,+0.238,孤立,100
README.md,+0.151,孤立,100
README.md,0.439,孤立,100
README.md,+0.82,孤立,100
README.md,+0.24,孤立,100
README.md,+0.585,孤立,100
README.md,0.436,孤立,100
README.md,41%,孤立,100
README.md,+0.086,孤立,100
README.md,+0.125,孤立,100
README.md,0.859,孤立,100
README.md,0.004,孤立,100
README.md,−0.37,孤立,100
README.md,0.579,孤立,100
README.md,0.173,孤立,100
README.md,0.019,孤立,100
README.md,+0.885,孤立,100
README.md,−0.86,孤立,100
README.md,+0.89,孤立,100
README.md,+0.885,孤立,100
README.md,+0.672,孤立,100
README.md,+0.760,孤立,100
README.md,−0.092,孤立,100
README.md,0.85,可核而未核,100
README.md,0.087,孤立,100
README.md,0.037,孤立,100
README.md,+0.264,孤立,100
README.md,+0.271,可核而未核,100
README.md,+0.285,可核而未核,100
README.md,+0.201,孤立,100
README.md,0.031,孤立,100
README.md,0.359,孤立,100
README.md,0.122,孤立,100
README.md,12%,孤立,100
