q,K,seed,n,m,full,I,P,X,I_share,P_share,X_share
73,2,11,2386,20,0.34133118877254065,0.2315205617705072,0.0952368620459174,0.014573764956116009,0.6782871574176305,0.2790159973027903,0.042696845279579204
73,2,29,2386,20,0.35556624466274434,0.24448865037695752,0.09365643322102295,0.017421161064763824,0.6876036576780672,0.2634007997858637,0.04899554253606905
73,2,47,2386,20,0.35598527887391673,0.22777392426466714,0.09431652165171629,0.033894832957533275,0.6398408523666519,0.2649450054509738,0.09521414218237431
73,4,11,2386,20,0.317580629937548,0.22714908448085225,0.09690096501715376,-0.006469419560458064,0.7009691398990204,0.2990308601009796,-0.01996426036805118
73,4,29,2386,20,0.31347647183605964,0.24149865564259704,0.09752565358891552,-0.025547837395452945,0.7123343343432128,0.2876656656567872,-0.07535694845412064
73,4,47,2386,20,0.3149782052796384,0.22866637952842966,0.0998533894122652,-0.0135415636610565,0.6960505916151093,0.3039494083848907,-0.04121993542343278
73,8,11,2386,20,0.18746794400407774,0.2202271787896555,0.09851878993955612,-0.1312780247251339,0.6909175343226002,0.3090824656773999,-0.41185783540578735
73,8,29,2386,20,0.1897502652005696,0.23450746861655447,0.0995241891016517,-0.1442813925176366,0.7020516265389081,0.2979483734610918,-0.4319392763645008
73,8,47,2386,20,0.1682132294321914,0.21696303396693295,0.10265016488374563,-0.15139996941848716,0.6788300193706857,0.32116998062931434,-0.4736974879727052
77,1,11,5045,21,0.41026396675967847,0.2769146280791827,0.1072341051040447,0.026115233576450993,0.6749669737420344,0.2613783168699764,0.0636547093879892
77,1,29,5045,21,0.4144192326915692,0.2661834011563642,0.118600862502213,0.029634969032991988,0.6423046522902829,0.2861857103781703,0.07150963733154672
77,1,47,5045,21,0.4170730789410566,0.2788815094621292,0.11075200126541691,0.027439568213510415,0.6686634154623596,0.2655457924702666,0.06579079206737377
77,2,11,5045,21,0.39308355827851316,0.27565941980268965,0.10813940305435935,0.00928473542146413,0.7012743575689714,0.27510538351680147,0.02362025891422703
77,2,29,5045,21,0.39235190892317706,0.2651946322335831,0.1203833695764718,0.006773907113122127,0.6759101362891764,0.3068249875650357,0.017264876145787957
77,2,47,5045,21,0.3973283871454979,0.27633480229203966,0.11215602712969418,0.008837557723763989,0.6954821533827346,0.28227539425373027,0.022242452363535153
77,4,11,5045,21,0.34284110814979174,0.2718462104721205,0.11119499106511568,-0.04020009338744446,0.7097048813055526,0.2902951186944473,-0.10494978928144504
77,4,29,5045,21,0.3341690205138106,0.2620542972801253,0.118939671360479,-0.046824948126793754,0.6878174429247302,0.3121825570752698,-0.12290207189858228
77,4,47,5045,21,0.34054392056225413,0.27335107383808466,0.11214852425391927,-0.04495567752974984,0.7090826428639914,0.2909173571360085,-0.11661666510744492
77,8,11,5045,21,0.26588158371569315,0.26517504882236353,0.11045286608125643,-0.10974633118792684,0.7059513904614974,0.2940486095385026,-0.29216766601621175
77,8,29,5045,21,0.2870061206568698,0.25826208297782466,0.11887456841228694,-0.09013053073324181,0.684797094172312,0.315202905827688,-0.23898640029025037
77,8,47,5045,21,0.2842273253019657,0.26829286807268227,0.1116840730654349,-0.09574961583615149,0.7060767089420853,0.2939232910579146,-0.25198796418898384
79,1,11,9249,11,0.2467616031579778,0.27659085598204275,0.006968350011101631,-0.03679760283516659,0.9754254142915392,0.024574585708460845,-0.12977043967338603
79,1,29,9249,11,0.2358924135953172,0.25391605312200427,0.02166646495989947,-0.03969010448658657,0.9213793926018915,0.07862060739810842,-0.1440225772042281
79,1,47,9249,11,0.2289786247822303,0.2547425156503249,0.012220747547442474,-0.0379846384155371,0.9542231114459022,0.0457768885540978,-0.1422841403740182
79,2,11,9249,11,0.19795244124643174,0.26483630341421804,0.008777964738443757,-0.07566182690623009,0.9679184685882457,0.0320815314117542,-0.2765273441954238
79,2,29,9249,11,0.1927070023484987,0.24592172024463857,0.024952691699286267,-0.07816740959542617,0.907880956638858,0.09211904336114206,-0.2885743582587197
79,2,47,9249,11,0.19768357555335325,0.24840374715635563,0.013634807122525221,-0.0643549787255276,0.9479664083781578,0.05203359162184222,-0.24559354978365613
79,4,11,9249,11,0.1756995159218725,0.2624502087917525,0.008388705481194228,-0.09513939835107428,0.9690269564707372,0.0309730435292627,-0.3512766937737553
79,4,29,9249,11,0.16276519635941433,0.24052628368858253,0.019177775709765605,-0.09693886303893381,0.9261552716804103,0.07384472831958971,-0.3732666453636127
79,4,47,9249,11,0.1670741547785375,0.24825159320366946,0.011899266532675774,-0.09307670495780776,0.9542601298925735,0.04573987010742655,-0.35777973231431215
79,8,11,9249,11,0.17809193805988555,0.29972644501366114,0.009599480823017759,-0.13123398777679335,0.9689664524657846,0.03103354753421539,-0.4242579648693386
79,8,29,9249,11,0.17856662705624604,0.27235897852878277,0.027259100521077863,-0.12105145199361457,0.9090205083500933,0.09097949164990664,-0.4040191846149241
79,8,47,9249,11,0.16157519310726653,0.2780476150043002,0.014211856521810265,-0.1306842784188439,0.9513724689653366,0.04862753103466341,-0.44715155931967304
81,1,11,1655,19,0.23807093101313304,0.1834869639517075,0.05356818472800212,0.0010157823334234206,0.7707239316066923,0.22500934700443148,0.004266721388876266
81,1,29,1655,19,0.24128744842229433,0.18241058181705092,0.036795482492170885,0.022081384113072512,0.7559886890502535,0.15249646317189486,0.09151484777785172
81,1,47,1655,19,0.2369274212135143,0.16469372937140192,0.062212099769761824,0.010021592072350538,0.6951231247436876,0.26257872326942483,0.04229815198688749
81,2,11,1655,19,0.17937850664740318,0.16466184361756164,0.05359599623658528,-0.03887933320674375,0.7544372460004123,0.24556275399958766,-0.17813487585474716
81,2,29,1655,19,0.17621699998891704,0.16444283400255072,0.03392841838250944,-0.02215425239614314,0.8289650442058475,0.17103495579415257,-0.11168076084502067
81,2,47,1655,19,0.1721897236386345,0.14882056953031697,0.06301471497345652,-0.03964556086513902,0.7025296559018995,0.2974703440981005,-0.18715277276875375
81,4,11,1655,19,0.1458405318077124,0.1598771205849031,0.055282257556099515,-0.06931884633329025,0.7430636859348477,0.2569363140651523,-0.3221744129036421
81,4,29,1655,19,0.13991197568865754,0.15916115425297567,0.038150356576619096,-0.057399535140937236,0.8066491082237616,0.19335089177623854,-0.2909081933415913
81,4,47,1655,19,0.1111548460313474,0.14346776035542605,0.06185287106300344,-0.0941657853870821,0.6987498497559581,0.30125015024404195,-0.4586279748730104
