g,dim,k,seed,glob,neighbour,random_nb,gap,ctrl_gap,n_pairs,n_people
0.0,128,1000,5,66.24337399001595,67.34752178260248,66.2032071741462,1.1041477925865308,-0.040166815869753236,77724,6230
0.0,128,2500,1,66.05454686731073,67.09010071681335,66.25602709445572,1.0355538495026195,0.20148022714498381,77218,6230
0.0,128,2500,2,66.66100143809648,67.0703913524777,66.08436246157052,0.4093899143812223,-0.5766389765259561,76490,6230
0.0,128,2500,3,66.06939595083708,66.9134975724717,66.05155655726159,0.8441016216346213,-0.017839393575485474,78189,6230
0.0,128,2500,4,67.0890513223323,67.26138070329898,66.7088444157521,0.17232938096668704,-0.38020690658019873,77023,6230
0.0,128,2500,5,66.24337399001595,66.98783290698731,66.38798795694478,0.7444589169713538,0.14461396692883,77724,6230
0.5,64,1000,1,60.00496462703239,62.98892958421867,59.91404652087146,2.9839649571862736,-0.09091810616093454,120855,6230
0.5,64,1000,2,61.65800536228526,63.89441614306827,61.345351609058405,2.236410780783011,-0.3126537532268543,120844,6230
0.5,64,1000,3,59.694987318498576,62.78549883704684,59.47412867203962,3.0905115185482614,-0.22085864645895725,121831,6230
0.5,64,1000,4,61.57347472232072,64.05347118186458,60.92792169270319,2.4799964595438624,-0.6455530296175311,121273,6230
0.5,64,1000,5,60.78702332773994,64.03883782495026,61.10119659525474,3.251814497210326,0.31417326751480346,121572,6230
1.0,64,1000,1,59.97103967564437,65.47336568749844,60.45808732807234,5.502326011854073,0.4870476524279681,120855,6230
1.0,64,1000,2,62.15699579623316,66.46300684462132,61.98351211760032,4.306011048388157,-0.17348367863284153,120844,6230
1.0,64,1000,3,59.848478630233686,64.7111520222235,59.38148217989817,4.862673391989816,-0.4669964503355146,121831,6230
1.0,64,1000,4,61.57842223743125,66.74513935762145,61.335772196954714,5.1667171201902065,-0.2426500404765335,121273,6230
1.0,64,1000,5,60.504063435659525,65.80643570054426,60.800197376536865,5.302372264884731,0.2961339408773398,121572,6230
2.0,64,1000,1,59.61524140498945,69.47243970798574,60.33718937091659,9.857198302996295,0.7219479659271428,120855,6230
2.0,64,1000,2,62.50041375657873,70.56069750736891,62.60346311746788,8.060283750790184,0.10304936088915184,120844,6230
2.0,64,1000,3,59.29689487897169,68.25672088302252,59.34704720051816,8.959826004050832,0.05015232154647009,121831,6230
2.0,64,1000,4,61.30630890635179,70.92586800125117,61.12401951090897,9.619559094899387,-0.1822893954428153,121273,6230
2.0,64,1000,5,60.243312604876124,69.45015373990825,60.48357251531724,9.206841135032121,0.24025991044111805,121572,6230
