world,q,Kc,seed,arm,C
real,63,2,29,real,0.008445308661383266
real,63,2,29,perm,-6.494047928184976e-05
real,63,3,11,real,0.015835860012274883
real,63,3,11,perm,-5.0152695649563483e-05
real,63,3,29,real,0.015194053381129224
real,63,3,29,perm,-0.0004535725097050136
real,63,5,11,real,0.02025899076523885
real,63,5,11,perm,-0.00030703960185463064
real,63,5,29,real,0.02003678255030661
real,63,5,29,perm,-0.0009128912419260615
real,63,8,11,real,0.024605082793787703
real,63,8,11,perm,-0.0006367242091310787
real,63,8,29,real,0.02339294385239854
real,63,8,29,perm,-0.0010036271442003253
real,63,12,11,real,0.029218405090656985
real,63,12,11,perm,-0.0011077492530402466
real,63,12,29,real,0.027394193922402055
real,63,12,29,perm,-0.001861917551902681
real,63,16,11,real,0.0345702771493166
real,63,16,11,perm,-0.001185231702858336
real,63,16,29,real,0.03232019871457159
real,63,16,29,perm,-0.0021822364691479468
real,63,24,11,real,0.038935718559125365
real,63,24,11,perm,-0.0024760268741210734
real,63,24,29,real,0.03787479126086912
real,63,24,29,perm,-0.003271258157537149
real,63,32,11,real,0.04119018183301193
real,63,32,11,perm,-0.004291384709664614
real,63,32,29,real,0.04104083352413479
real,63,32,29,perm,-0.0046223738028944306
real,67,1,11,real,0.008965562721173326
real,67,1,11,perm,-0.00022766698818788011
real,67,1,29,real,0.008049148099930847
real,67,1,29,perm,-5.376397699474733e-05
real,67,2,11,real,0.011490194362018258
real,67,2,11,perm,-0.0002764529861748466
real,67,2,29,real,0.012523893130253816
real,67,2,29,perm,-0.00013219064582947748
real,67,3,11,real,0.013799091954040055
real,67,3,11,perm,-0.00016110609992037173
real,67,3,29,real,0.014607593530073903
real,67,3,29,perm,-0.00034862481435216086
real,67,5,11,real,0.01617032154706055
real,67,5,11,perm,-0.0005637769899947687
real,67,5,29,real,0.016742940910129067
real,67,5,29,perm,-0.0009396704353654695
real,67,8,11,real,0.019246835431041553
real,67,8,11,perm,-0.000870993398899178
real,67,8,29,real,0.020434804999852618
real,67,8,29,perm,-0.0016129920953924515
real,67,12,11,real,0.02367603471784796
real,67,12,11,perm,-0.001012814487542757
real,67,12,29,real,0.024550612980406505
real,67,12,29,perm,-0.0017083433060809394
real,67,16,11,real,0.024981627229776593
real,67,16,11,perm,-0.001833380408354901
real,67,16,29,real,0.0274742833796352
real,67,16,29,perm,-0.002218318950438336
real,67,24,11,real,0.029365219998532033
real,67,24,11,perm,-0.0029164329680123613
real,67,24,29,real,0.032570535190819205
real,67,24,29,perm,-0.002783187309531754
real,67,32,11,real,0.034598312218969585
real,67,32,11,perm,-0.004158422206026691
real,67,32,29,real,0.036227076734377084
real,67,32,29,perm,-0.0035556786853899736
real,73,1,11,real,0.01904525716630512
real,73,1,11,perm,-0.0002823457473497548
real,73,1,29,real,0.014558554851119121
real,73,1,29,perm,-0.00022621489729968136
real,73,2,11,real,0.02839791217590526
real,73,2,11,perm,-0.0007422776162032685
real,73,2,29,real,0.025330269757087187
real,73,2,29,perm,6.120129925446527e-05
real,73,3,11,real,0.02862304322665432
real,73,3,11,perm,-0.0008943940293461017
real,73,3,29,real,0.02706177195014181
real,73,3,29,perm,-8.311772309532728e-05
real,73,5,11,real,0.031061900492928896
real,73,5,11,perm,-0.0014527881094518191
real,73,5,29,real,0.02851000578117424
real,73,5,29,perm,0.0005496725321441076
real,73,8,11,real,0.034617726863594656
real,73,8,11,perm,-0.00399544238817795
real,73,8,29,real,0.03305826070340834
real,73,8,29,perm,-0.00098829631714481
real,73,12,11,real,0.037415527255491576
real,73,12,11,perm,-0.0053476543124985065
real,73,12,29,real,0.03459598872890857
real,73,12,29,perm,-0.0023453075429166192
real,73,16,11,real,0.03904559671595109
real,73,16,11,perm,-0.006372521981674595
real,73,16,29,real,0.036413201315932064
real,73,16,29,perm,-0.004384034375356394
real,73,24,11,real,0.03977599098039142
real,73,24,11,perm,-0.008129508805757024
real,73,24,29,real,0.03665909868955397
real,73,24,29,perm,-0.005172219128449673
real,73,32,11,real,0.03823542358756282
real,73,32,11,perm,-0.010033861260803523
real,73,32,29,real,0.03867359648446156
real,73,32,29,perm,-0.007916325112033773
real,77,1,11,real,0.020941978762197277
real,77,1,11,perm,-1.0873212466400162e-05
real,77,1,29,real,0.022080430990281452
real,77,1,29,perm,-0.00036249587096803815
real,77,2,11,real,0.02248048598911856
real,77,2,11,perm,-0.00012108689179124443
real,77,2,29,real,0.02333684235963618
real,77,2,29,perm,-0.0005550229996164058
real,77,3,11,real,0.033912591919660895
real,77,3,11,perm,-7.732402399185379e-05
real,77,3,29,real,0.03582772312503224
real,77,3,29,perm,-0.0005397374381138631
real,77,5,11,real,0.04332722107251852
real,77,5,11,perm,-0.0002090093754750777
real,77,5,29,real,0.04346071540943175
real,77,5,29,perm,-0.0005522957119418193
real,77,8,11,real,0.050991316756503924
real,77,8,11,perm,-0.0009367865087118732
real,77,8,29,real,0.05162883625456771
real,77,8,29,perm,-0.0013526566719849198
real,77,12,11,real,0.06155283022841951
real,77,12,11,perm,-0.0008946606205065821
real,77,12,29,real,0.05991879908352271
real,77,12,29,perm,-0.001358620508091879
real,77,16,11,real,0.06672109519867042
real,77,16,11,perm,-0.0014024432410528753
real,77,16,29,real,0.06401555122185498
real,77,16,29,perm,-0.001804620555614589
real,77,24,11,real,0.07119021673322512
real,77,24,11,perm,-0.0024507663127926183
real,77,24,29,real,0.06967901012170119
real,77,24,29,perm,-0.002290692205193845
real,77,32,11,real,0.0741178883753687
real,77,32,11,perm,-0.0034967937169552155
real,77,32,29,real,0.07215680614115239
real,77,32,29,perm,-0.0033936187778011995
real,83,1,11,real,0.049593380791914554
real,83,1,11,perm,-0.0023022413977797918
real,83,1,29,real,0.053879628012010516
real,83,1,29,perm,0.000727313534915508
real,83,2,11,real,0.0804615239202775
real,83,2,11,perm,-0.004010190527272917
real,83,2,29,real,0.0971598825056984
real,83,2,29,perm,0.0005471247846496885
real,83,3,11,real,0.084114144209125
real,83,3,11,perm,-0.0047366817586722565
real,83,3,29,real,0.10364226358550055
real,83,3,29,perm,-0.00029634483672102974
real,83,5,11,real,0.09858062319949812
real,83,5,11,perm,-0.006014049730535986
real,83,5,29,real,0.11060410235207496
real,83,5,29,perm,-0.0025804155389941297
real,83,8,11,real,0.1158160385245538
real,83,8,11,perm,-0.0070607745591475535
real,83,8,29,real,0.12789859949437243
real,83,8,29,perm,-0.004127868929535983
real,83,12,11,real,0.11903995770319875
real,83,12,11,perm,-0.007631204570733741
real,83,12,29,real,0.12947100672326117
real,83,12,29,perm,-0.004981205444489434
real,83,16,11,real,0.13006203684104434
real,83,16,11,perm,-0.011100261487386964
real,83,16,29,real,0.1362706618208266
real,83,16,29,perm,-0.006278278915220592
real,83,24,11,real,0.132763012297076
real,83,24,11,perm,-0.012556004582935598
real,83,24,29,real,0.14804502766687577
real,83,24,29,perm,-0.011886467238199194
real,83,32,11,real,0.1452339160910351
real,83,32,11,perm,-0.010166407767129404
real,83,32,29,real,0.16728789714142756
real,83,32,29,perm,-0.018194027582480565
real,85,1,11,real,0.0017969202928426187
