q,Kc,Kw,seed,world,I,P,C,W
1,8,2,29,real,0.2408720785396941,0.08493550145322142,0.009641989811331825,-0.0290841172422192
1,8,2,29,permC,0.24048835702042903,0.08452658585675107,-0.00046127996744307903,-0.026960896387285223
1,8,2,29,margin,0.23653431713699077,0.0930639960594531,0.0008730365293837712,-0.1426616699044086
1,8,2,29,both,0.23652076987625278,0.09300305924306557,-0.00018312502153589963,-0.14288041355263723
1,8,4,29,real,0.23901559713740797,0.09288553522813942,0.009089434842475172,-0.10173827176191652
1,8,4,29,permC,0.23843959687944521,0.09230852410817578,-0.0004109560402540679,-0.09901217201093687
1,8,4,29,margin,0.23638476522021432,0.09675819782172383,0.0008000129713778003,-0.2603163905454789
1,8,4,29,both,0.2363099722827386,0.09660015769089689,-0.000142806360264545,-0.26042179197443016
4,1,1,11,real,0.2639989018162453,0.04653047031273919,0.003898768037431906,0.037905639218443365
4,1,1,11,permC,0.2634270023204687,0.046073533525359256,-0.0006001429016884348,0.0385193526233748
4,1,1,11,margin,0.26813799638052105,0.02986710686457797,-0.0004663201251856504,-0.08936523792426403
4,1,1,11,both,0.26807343424785307,0.029877002397940243,-4.8850013881274183e-05,-0.08929258415075374
4,1,2,11,real,0.2540714487239017,0.053710792504078085,0.0040811297688969714,0.006953941858219764
4,1,2,11,permC,0.2536837660902275,0.05345076885409881,-0.000648259133777936,0.007337177299596635
4,1,2,11,margin,0.2591287320803402,0.03562892272070525,-0.00034842300099218365,-0.1529283660523726
4,1,2,11,both,0.25905221169452913,0.03568065527251746,-9.397341445773384e-05,-0.1530187328036322
4,1,4,11,real,0.2500161294881504,0.0512511060347008,0.0037579671424291523,-0.016559199368247457
4,1,4,11,permC,0.2494839688184519,0.051079342738511134,-0.0004635236834163355,-0.015668065850041164
4,1,4,11,margin,0.25068718118598976,0.04856580130969297,-0.0002842731182900645,-0.24722831016704583
4,1,4,11,both,0.2506564781863835,0.04863135348780685,-9.128687103336178e-05,-0.2473801402575832
4,4,1,11,real,0.26455694437463406,0.046588163886583045,0.005951375426720677,0.037800740070152695
4,4,1,11,permC,0.26342531236671707,0.045997617275624944,-0.00048770031730230307,0.038476651139691294
