q,gate_free,arm,seed,C
67,True,perm_free,47,-0.0014763523844936177
67,True,perm_count,47,-0.001426975047574719
67,True,perm_pattern,47,-0.0017030035735348115
73,False,real,11,0.034617726863594656
73,False,perm_free,11,-0.001735209864766607
73,False,perm_count,11,-0.0006558851012070654
73,False,perm_pattern,11,-0.004837280239809227
73,False,real,29,0.03305826070340834
73,False,perm_free,29,-0.0034857124641467507
73,False,perm_count,29,-0.00011037510090727842
73,False,perm_pattern,29,-0.0011348959514174695
73,False,real,47,0.03600807358013847
73,False,perm_free,47,-0.0009099804106237341
73,False,perm_count,47,-0.002225720490258931
73,False,perm_pattern,47,-0.0010386591018168856
73,True,real,11,0.010973058310520756
73,True,perm_free,11,-0.0021070701508379974
73,True,perm_count,11,-0.0018157474701131493
73,True,perm_pattern,11,-0.004246766789701373
73,True,real,29,0.011283724200903289
73,True,perm_free,29,-0.003192932529069825
73,True,perm_count,29,-0.0015113077766946148
73,True,perm_pattern,29,-0.0007682381671623162
73,True,real,47,0.012442065857531825
73,True,perm_free,47,-0.0005712117889054014
73,True,perm_count,47,-0.0030722837050042306
73,True,perm_pattern,47,-0.0014722322604393545
77,False,real,11,0.050991316756503924
77,False,perm_free,11,-0.0005869118980792454
77,False,perm_count,11,0.001193158790576354
77,False,perm_pattern,11,-0.0003174591909601565
77,False,real,29,0.05162883625456771
77,False,perm_free,29,-0.0010151324754305024
77,False,perm_count,29,-2.570507553845136e-05
77,False,perm_pattern,29,-0.00034857000050692033
77,False,real,47,0.052015183835786405
77,False,perm_free,47,-0.0009686099084633693
77,False,perm_count,47,0.0010217282351752122
77,False,perm_pattern,47,-0.0011820050360231704
77,True,real,11,0.027852404771645745
77,True,perm_free,11,-0.0006913371391871204
77,True,perm_count,11,-0.001072749340791157
77,True,perm_pattern,11,-0.000177728881735284
77,True,real,29,0.02775447630842287
77,True,perm_free,29,-0.0008340179712658102
77,True,perm_count,29,-0.0014997876426425805
77,True,perm_pattern,29,-0.00035222354075925555
77,True,real,47,0.028690058391594664
77,True,perm_free,47,-0.0010214777806222264
77,True,perm_count,47,-0.0002893689184181314
77,True,perm_pattern,47,-0.0013259043292982442
83,False,real,11,0.1158160385245538
83,False,perm_free,11,-0.0014227595713981467
83,False,perm_count,11,-0.003996178669988915
83,False,perm_pattern,11,0.0024897404416973634
83,False,real,29,0.12789859949437243
83,False,perm_free,29,-0.0025634411555862657
83,False,perm_count,29,-0.0026513501386288274
83,False,perm_pattern,29,-0.004383042270494908
83,False,real,47,0.10350649412026991
83,False,perm_free,47,-0.005596891659554792
83,False,perm_count,47,-0.0029470187505798995
83,False,perm_pattern,47,-0.0026668974050665373
83,True,real,11,0.0556303704336667
83,True,perm_free,11,-0.0012788317274585737
83,True,perm_count,11,-0.004420032866954471
83,True,perm_pattern,11,0.0006611439052791601
83,True,real,29,0.05629950708487563
83,True,perm_free,29,-0.0005011093522431231
83,True,perm_count,29,-0.0028633045968146087
83,True,perm_pattern,29,-0.005726741431210436
83,True,real,47,0.042763502665230324
83,True,perm_free,47,-0.002741509506130946
83,True,perm_count,47,-0.0029498145440174373
83,True,perm_pattern,47,-0.004702739221825181
85,False,real,11,0.018130528631866816
85,False,perm_free,11,-0.0028828812902883527
85,False,perm_count,11,-0.0004545976898397974
85,False,perm_pattern,11,-0.00034756019247716985
85,False,real,29,0.01947820328594574
85,False,perm_free,29,-0.0005363057154127437
85,False,perm_count,29,-0.0017165695638257095
85,False,perm_pattern,29,-0.0012217694511055255
85,False,real,47,0.020745556654500175
85,False,perm_free,47,-0.00323721019109402
85,False,perm_count,47,-0.0022992971278996688
85,False,perm_pattern,47,-0.0021136920897748546
85,True,real,11,0.005685218155886407
85,True,perm_free,11,-0.0024867898194588234
85,True,perm_count,11,-0.0020330481516674936
85,True,perm_pattern,11,-0.00047786936860960694
85,True,real,29,0.00916666390068066
85,True,perm_free,29,-0.0012941621993787233
85,True,perm_count,29,-0.002403340703614587
85,True,perm_pattern,29,-0.0013441192933586477
85,True,real,47,0.009362027687149999
85,True,perm_free,47,-0.0033099630280971626
85,True,perm_count,47,-0.0006805614991911568
85,True,perm_pattern,47,-0.00227023351696376
90,False,real,11,0.004753384903845359
90,False,perm_free,11,-1.3643798466911328e-05
90,False,perm_count,11,0.0012604194086950349
90,False,perm_pattern,11,-0.0012509468580265137
90,False,real,29,0.005705169543185451
90,False,perm_free,29,-0.0021741062574816006
90,False,perm_count,29,0.0008040939092006649
90,False,perm_pattern,29,-0.0012010926214034434
90,False,real,47,0.004377097590459678
