a,b,kind,dose,level,n,mval,e
1,16,same,age_first,2,652,15.264570552147239,-0.08370744096154437
17,20,same,gap,1,1142,2.953590192644483,0.024002455456418825
17,20,same,gap,2,676,8.471153846153847,0.02022779984938783
17,20,same,age_first,0,384,7.79296875,0.08365136529343142
17,20,same,age_first,1,381,11.5,-0.0038007066367696796
17,20,same,age_first,2,1053,15.357549857549857,-0.009389071918990188
6,30,cross,gap,0,693,2.0,-0.07416578066353446
6,30,cross,gap,1,522,4.0727969348659006,0.0010022073717141367
6,30,cross,gap,2,914,8.99781181619256,-0.04200107248925511
6,30,cross,age_first,0,501,8.597804391217565,0.0559907935054636
6,30,cross,age_first,1,617,11.5,-0.05231454736509228
6,30,cross,age_first,2,1011,14.56973293768546,-0.01111753077495442
9,29,cross,gap,1,757,2.8295904887714665,-0.07863308975614619
9,29,cross,gap,2,406,8.397783251231527,0.03645917602089993
9,29,cross,age_first,0,337,7.738872403560831,-0.041426795259968396
9,29,cross,age_first,1,278,11.5,-0.12025967035947055
9,29,cross,age_first,2,548,14.775547445255475,0.048710070986131726
5,26,cross,gap,1,918,2.4956427015250546,-0.010842576652398184
5,26,cross,gap,2,785,7.085350318471337,0.024292295311325374
5,26,cross,age_first,0,537,9.746741154562384,0.001337516314008802
5,26,cross,age_first,1,421,13.5,-0.018872346062514367
5,26,cross,age_first,2,745,16.985906040268457,-0.02142913439060612
3,8,same,gap,1,1770,2.559322033898305,-0.005099552122081907
3,8,same,gap,2,1052,7.27851711026616,-0.029771089858766808
3,8,same,age_first,0,511,8.073385518590998,-0.03715319195326289
3,8,same,age_first,1,633,11.5,-0.03819397399938068
3,8,same,age_first,2,1678,15.079261025029798,-0.021390345962511104
2,26,same,gap,1,1280,2.411328125,0.0501328264154699
2,26,same,gap,2,959,6.269030239833159,-0.03250142819091795
2,26,same,age_first,0,596,9.930369127516778,0.021931402048695814
2,26,same,age_first,1,547,13.5,0.071857576488078
2,26,same,age_first,2,1096,17.05839416058394,0.026118932024087882
22,29,cross,gap,1,1017,2.897738446411013,-0.07898778628823139
22,29,cross,gap,2,668,8.905688622754491,-0.022918009441391274
22,29,cross,age_first,0,429,7.771561771561772,-0.08615790177517335
22,29,cross,age_first,1,394,11.5,-0.09736369515891635
22,29,cross,age_first,2,862,15.04814385150812,-0.06519891694598079
9,30,cross,gap,1,1109,2.8354373309287646,-0.016295147905971363
9,30,cross,gap,2,654,8.613149847094801,0.026157582885174058
9,30,cross,age_first,0,513,8.348927875243664,-0.0070818122800707095
9,30,cross,age_first,1,545,11.5,-0.02066930225216207
9,30,cross,age_first,2,705,14.526950354609928,-0.07612596537701738
5,17,cross,gap,1,1860,3.002956989247312,-0.007277681697110572
5,17,cross,gap,2,931,8.207841031149302,0.012739936331729262
5,17,cross,age_first,0,900,9.96,-0.01693883328639828
5,17,cross,age_first,1,703,13.5,-0.008059318928481884
5,17,cross,age_first,2,1188,16.989478114478114,0.021262110920027055
16,29,same,gap,0,480,2.003125,-0.004219989168362526
16,29,same,gap,1,544,4.735294117647059,-0.10035201588093046
16,29,same,gap,2,587,9.969335604770016,-0.06633660566816679
16,29,same,age_first,0,412,7.928398058252427,-0.018875849160104874
16,29,same,age_first,1,349,11.5,0.02989949588948837
16,29,same,age_first,2,850,15.111764705882353,-0.011429491953595439
2,4,same,gap,1,2277,2.4174352217830477,0.012326527518416175
2,4,same,gap,2,1561,6.691864189622037,0.047476965959034445
2,4,same,age_first,0,1051,10.147002854424358,0.08278300984038578
2,4,same,age_first,1,1053,13.5,-0.028807077701714257
2,4,same,age_first,2,1734,16.753460207612456,0.021611439432146384
12,30,cross,gap,1,1719,2.8318789994182665,-0.021664730090993956
12,30,cross,gap,2,897,8.652173913043478,-0.03314486846883402
12,30,cross,age_first,0,653,8.551301684532925,0.00486068632927994
12,30,cross,age_first,1,728,11.5,-0.03518579006175088
12,30,cross,age_first,2,1235,14.769635627530365,-0.03269963624795236
26,30,same,gap,0,1175,2.0,0.013910194027994038
26,30,same,gap,1,944,4.11917372881356,-0.04353569394478851
26,30,same,gap,2,1554,8.66988416988417,-0.058204279324047536
26,30,same,age_first,0,749,8.587449933244326,-0.02347684021720481
26,30,same,age_first,1,991,11.5,0.0101840229811192
26,30,same,age_first,2,1933,14.964304190377652,-0.03880816920137348
3,16,cross,gap,1,771,2.909208819714656,-0.0124183172631534
3,16,cross,gap,2,449,8.90423162583519,-0.0819178709178155
3,16,cross,age_first,1,563,12.569271758436946,-0.03837580847394828
3,16,cross,age_first,2,428,16.600467289719628,0.041905132153274904
