q,dens,scale,seed,skill,pp,pp_carriers
17,0.3,0.3,11,-0.0024705937350416596,23.9953284382452,41.681528012818795
17,0.3,0.5,11,0.001067485458306039,26.426951421924823,45.555276554719995
17,1.0,0.0,11,-0.009228874053623826,0.0,0.0
17,1.0,0.08,11,-0.011421252102807533,14.944498295964861,14.944498295964861
17,1.0,0.12,11,0.004303387985658769,20.65219038629401,20.65219038629401
17,1.0,0.2,11,0.03481481514992679,28.81084955150418,28.81084955150418
17,1.0,0.3,11,0.0810474629716702,34.80587754267618,34.80587754267618
17,1.0,0.5,11,0.12781597445137394,40.65152295474695,40.65152295474695
17,0.05,0.0,29,-0.02322716381013823,0.0,0.0
17,0.05,0.08,29,-0.026077231726483352,8.049738668325206,37.06203839196222
17,0.05,0.12,29,-0.027453222276428324,9.013075497290533,41.043101858897884
17,0.05,0.2,29,-0.02692028866989704,9.88972955510015,44.60841877322363
17,0.05,0.3,29,-0.026993955751636545,10.385346821406099,46.64155305496918
17,0.05,0.5,29,-0.02621581744987833,10.817799197637298,48.37073131103445
17,0.15,0.0,29,-0.02322716381013823,0.0,0.0
17,0.15,0.08,29,-0.02189802594838086,10.778461523346284,28.47593011417805
17,0.15,0.12,29,-0.02180189542985711,13.334356265668843,34.88541030504461
17,0.15,0.2,29,-0.020211676749874008,15.92309500081317,41.17366293446067
17,0.15,0.3,29,-0.017710931996762103,17.519021596523842,44.92202635648127
17,0.15,0.5,29,-0.019588715220270503,18.843826258233786,48.00588110511735
17,0.3,0.0,29,-0.02322716381013823,0.0,0.0
17,0.3,0.08,29,-0.021788463415162496,12.557173721844405,22.59007424034765
17,0.3,0.12,29,-0.02414600912244269,16.500212663025547,29.473495813599847
17,0.3,0.2,29,-0.014175844469869858,21.077131225998063,37.26936586794897
17,0.3,0.3,29,-0.0066321527240107425,23.86923058174655,41.898560588081345
17,0.3,0.5,29,0.004681682969885914,26.436654139372788,46.04556110309229
17,1.0,0.0,29,-0.0336298471485158,0.0,0.0
17,1.0,0.08,29,-0.017714316748714154,13.765007819097638,13.765007819097638
17,1.0,0.12,29,0.00045386875926944903,19.35661881130186,19.35661881130186
17,1.0,0.2,29,0.05034034525298203,27.724883717916693,27.724883717916693
17,1.0,0.3,29,0.10315484239659489,34.284507256245035,34.284507256245035
17,1.0,0.5,29,0.17968680881562782,40.875575800957485,40.875575800957485
19,0.05,0.0,11,-0.015388903074406879,0.0,0.0
19,0.05,0.08,11,-0.014919900558022281,8.540457896715935,35.897854214362006
19,0.05,0.12,11,-0.014881066561068468,9.68411772707287,40.49407931155657
19,0.05,0.2,11,-0.014993869023543271,10.733658902915248,44.64482929192009
19,0.05,0.3,11,-0.014758170413621041,11.280186525041193,46.790018614483635
19,0.05,0.5,11,-0.014834044387180056,11.749404869154041,48.60733029948794
19,0.15,0.0,11,-0.015388903074406879,0.0,0.0
19,0.15,0.08,11,-0.014224342098957954,10.997297591840109,28.092143625450845
19,0.15,0.12,11,-0.00929340067304929,13.422099942212403,34.09661197195786
19,0.15,0.2,11,-0.005450283830348512,15.945922009864011,40.250778216746916
19,0.15,0.3,11,-0.004672906328782478,17.425549475333764,43.81748465635818
19,0.15,0.5,11,-0.002051322230820718,18.69360311457236,46.84656967903239
19,0.3,0.0,11,-0.015388903074406879,0.0,0.0
19,0.3,0.08,11,-0.011861831199285522,12.382916139795839,22.54919748647889
19,0.3,0.12,11,-0.004465182335328333,16.01119457847631,29.037133084446744
19,0.3,0.2,11,0.010894811401653492,20.148807999687,36.31849336665906
19,0.3,0.3,11,0.020435416806465434,22.79649459339459,40.914408951807644
19,0.3,0.5,11,0.029646766582197004,25.156439984927715,44.97295840417318
19,1.0,0.0,11,-0.012667003999337068,0.0,0.0
19,1.0,0.08,11,-0.006245072405718033,14.052647683917213,14.052647683917213
19,1.0,0.12,11,0.015910691812998756,19.666968357500654,19.666968357500654
19,1.0,0.2,11,0.07899933315267649,27.785432387610204,27.785432387610204
19,1.0,0.3,11,0.1535251034370051,33.876511505979636,33.876511505979636
19,1.0,0.5,11,0.250553931382566,40.10081507400317,40.10081507400317
19,0.05,0.0,29,-0.01626247600448527,0.0,0.0
19,0.05,0.08,29,-0.015707906323785048,8.482303161488005,38.09219849014926
19,0.05,0.12,29,-0.01510185375327966,9.492341465259594,42.396679321052716
19,0.05,0.2,29,-0.015165537318168165,10.32718080213017,45.871033191381
19,0.05,0.3,29,-0.015258742419244298,10.768697382335676,47.65436418920573
19,0.05,0.5,29,-0.014952501134133378,11.138922974529487,49.15282096163284
19,0.15,0.0,29,-0.01626247600448527,0.0,0.0
19,0.15,0.08,29,-0.013258302049002246,12.010279379665107,30.761968466694718
19,0.15,0.12,29,-0.008233978533377151,14.444274379915434,36.8161670736983
19,0.15,0.2,29,-0.0040660304384285695,16.797252007263975,42.53619875572794
19,0.15,0.3,29,-0.0009846047732582353,18.044080745381716,45.49487391442163
19,0.15,0.5,29,0.0007853197217899677,19.058185000955095,47.85329270977477
19,0.3,0.0,29,-0.01626247600448527,0.0,0.0
19,0.3,0.08,29,-0.008679620937474652,13.71358070480982,24.85328369841999
19,0.3,0.12,29,4.27938417173479e-05,17.499449586331593,31.620312343328184
19,0.3,0.2,29,0.01712597952478534,21.598361578902157,38.81568235901544
19,0.3,0.3,29,0.026766880030809403,24.008173031676332,42.95663326847928
19,0.3,0.5,29,0.03527003834564535,26.030534324362346,46.369631479088184
19,1.0,0.0,29,-0.012558273725318925,0.0,0.0
19,1.0,0.08,29,0.000947222933321501,15.354700607208777,15.354700607208777
19,1.0,0.12,29,0.03428011238138928,21.40832911409036,21.40832911409036
19,1.0,0.2,29,0.11514674268271075,30.013836216238875,30.013836216238875
19,1.0,0.3,29,0.19623309747240103,36.18595635787213,36.18595635787213
19,1.0,0.5,29,0.29540240363039194,42.11162364374086,42.11162364374086
29,0.05,0.0,11,-0.009499297071188684,0.0,0.0
29,0.05,0.08,11,-0.00875922089588932,8.825113942781321,38.28264985293481
29,0.05,0.12,11,-0.007364462156203788,9.928776877602987,42.85830193762994
29,0.05,0.2,11,-0.006672386804227992,10.84721703933098,46.60480189741405
29,0.05,0.3,11,-0.006499631783189241,11.362735935379591,48.68293973591661
29,0.05,0.5,11,-0.006494676105111452,11.758585309228707,50.27450123095092
29,0.15,0.0,11,-0.009499297071188684,0.0,0.0
29,0.15,0.08,11,-0.0037271746938571937,12.112598234675936,30.603531122213113
29,0.15,0.12,11,4.444614984178141e-05,14.523725227326725,36.5591592391515
29,0.15,0.2,11,0.007278648312514346,17.03827977227246,42.670690267882314
29,0.15,0.3,11,0.011280144327220132,18.407022058292615,45.943901152438485
29,0.15,0.5,11,0.014330917286788702,19.55278631071342,48.654749935647246
29,0.3,0.0,11,-0.009499297071188684,0.0,0.0
29,0.3,0.08,11,0.0018394529612746346,14.096790046359557,25.492109668443163
29,0.3,0.12,11,0.014933891820115064,17.680503096469632,31.89360738375421
29,0.3,0.2,11,0.034215296928677974,21.762786874802632,39.10209841495928
29,0.3,0.3,11,0.049524816269956196,24.27335862442248,43.476141511056966
29,0.3,0.5,11,0.06106952078498806,26.42243290378272,47.177254870404134
29,1.0,0.0,11,-0.00943396545109465,0.0,0.0
29,1.0,0.08,11,0.011541155502290512,16.252286305085832,16.252286305085832
29,1.0,0.12,11,0.05344226832304377,22.329878010012713,22.329878010012713
29,1.0,0.2,11,0.14298068401119124,30.49874686534248,30.49874686534248
29,1.0,0.3,11,0.25159022101841844,36.55135671586699,36.55135671586699
29,1.0,0.5,11,0.3611870234967557,42.61743975434155,42.61743975434155
29,0.05,0.0,29,-0.008099632432806203,0.0,0.0
29,0.05,0.08,29,-0.006847617241590331,9.124868129383024,37.37934110589612
29,0.05,0.12,29,-0.0067548957100660445,10.28781960002604,41.992947944979626
29,0.05,0.2,29,-0.005926533323380445,11.361552216112758,46.21316214240033
29,0.05,0.3,29,-0.00555756013336417,11.924125529308801,48.38520603616354
29,0.05,0.5,29,-0.004921750789165569,12.394547654124375,50.177143803171056
29,0.15,0.0,29,-0.008099632432806203,0.0,0.0
29,0.15,0.08,29,-0.004417098652170659,11.903604977473536,30.251924613284427
29,0.15,0.12,29,-0.0009173798981202408,14.210056246906161,35.993580971398785
29,0.15,0.2,29,0.0044959826416083315,16.644913186026443,41.98617695203716
29,0.15,0.3,29,0.00784117067287926,18.064723332888306,45.43819027932921
29,0.15,0.5,29,0.0104884619877198,19.266356637728087,48.32379431986801
29,0.3,0.0,29,-0.008099632432806203,0.0,0.0
29,0.3,0.08,29,0.0007480643508740448,13.781882953147756,24.95638130097496
29,0.3,0.12,29,0.009893784062453559,17.258140501138584,31.16933903978164
29,0.3,0.2,29,0.02594711802484928,21.20514820657667,38.15588687824572
29,0.3,0.3,29,0.03779577431599679,23.74470792480806,42.605008282138115
29,0.3,0.5,29,0.048828122448090094,26.029524533733987,46.569446060051554
29,1.0,0.0,29,-0.009742556231883692,0.0,0.0
29,1.0,0.08,29,0.012243672846581677,15.954313109471268,15.954313109471268
29,1.0,0.12,29,0.04425776008858495,21.836005077880667,21.836005077880667
