q,K,seed,world,I,P,C,W
4,1,11,rowshuf,-0.0010172704767063556,-0.024993818008932796,-0.0006858443681146408,-0.08576060439877758
4,1,11,colshuf,0.2479627696846192,-0.052766617188659465,-0.0008101281545715341,-0.08379899427493676
4,2,11,real,0.2544091235662802,0.05362539650598297,0.004564943599737775,0.006906711193142373
4,2,11,permC,0.25361375117065216,0.053446176865264865,-0.000679169967948164,0.007322525828087512
4,2,11,margin,0.25020109656246625,0.04447820333881054,4.99745220798135e-06,-0.18766737509968118
4,2,11,rowshuf,-0.0009854873254020458,-0.023377677130210696,3.7264456789457924e-05,-0.15960210139951736
4,2,11,colshuf,0.23396109764553968,-0.04449652938966968,-9.374159841712046e-05,-0.16586267512112773
4,3,11,real,0.2544546343405133,0.050837604152540135,0.004157114571896112,0.006192512710815362
4,3,11,permC,0.2537013127078305,0.05021613599144128,-0.00014813556602741307,0.006903869269743429
4,3,11,margin,0.2423374983638478,0.04622397778632982,0.000219304735181447,-0.24149282261157598
4,3,11,rowshuf,-0.0008624461483257944,-0.01703881260897333,0.000299214315228243,-0.22477852677539026
4,3,11,colshuf,0.2298286254617174,-0.04099602732572274,-0.00023617080881091485,-0.24921329806145842
4,5,11,real,0.2424743426175476,0.053668209576369155,0.006109070773143043,-0.045907710127958856
4,5,11,permC,0.2417674187486728,0.052908790827216945,-0.00034073896877485443,-0.04447203359889755
4,5,11,margin,0.23747002675249293,0.051721231431818365,0.0007095355838027395,-0.32139529813780043
4,5,11,rowshuf,-0.0008350097382315107,-0.01261209354940788,-0.0006775518376784436,-0.38648886663240484
4,5,11,colshuf,0.24036359430437473,-0.03872042049477482,-0.0006741452449999149,-0.27760643625258874
4,8,11,real,0.2514223190187369,0.05894954728083221,0.008505565031126677,-0.08688708260624443
4,8,11,permC,0.250787539854991,0.05797321794168876,-0.0008374066283921751,-0.08558968909173036
4,8,11,margin,0.25455393952027083,0.04716836043376137,-0.00014187539971713403,-0.17063964168431753
4,8,11,rowshuf,-0.0004109884082416082,0.0006128593127926081,-0.0004270832742999293,-0.5996118490444587
4,8,11,colshuf,0.24293786205580314,-0.039621644690795856,-0.0006972977973624209,-0.185111407506877
4,1,29,real,0.25495985128974663,0.04006283756282216,0.004295472731606705,0.022616605644264192
4,1,29,permC,0.2550557887974638,0.03978988597319989,0.00013679794897047953,0.02220000578453681
4,1,29,margin,0.2797069012586355,0.03866800227665816,0.0005980901471169531,-0.09517571309773872
4,1,29,rowshuf,-0.001586202337768091,-0.017667277753995327,-0.0018256981053670165,-0.08734487337686626
4,1,29,colshuf,0.24873369690550107,-0.05363526143312374,-0.0005262333587438828,-0.11010964911586718
4,2,29,real,0.24467380382409906,0.04747247131229186,0.004622412335828653,-0.012869608322560204
4,2,29,permC,0.2447413617006236,0.047321602508852076,0.00024270184129462907,-0.013427411831124381
4,2,29,margin,0.26592650263797746,0.04525107375562913,0.000708623641481378,-0.15991971699238522
4,2,29,rowshuf,-0.0018649481886487775,-0.013847020311649732,-0.002150417198471366,-0.1911433704252538
4,2,29,colshuf,0.23572775499236073,-0.04600634452898998,0.0002350511751332181,-0.1911490747289258
4,3,29,real,0.24729645420183058,0.04364140581519161,0.004564870602096695,-0.009092144713717526
4,3,29,permC,0.24696566010518936,0.04386573925764452,0.00022960751597059237,-0.00935731235971605
4,3,29,margin,0.2605181566454292,0.047720666188196495,0.0009013678139926743,-0.19457678737625692
4,3,29,rowshuf,-0.002428652981793733,-0.013009305477605112,-0.002381617586508826,-0.2704588496264009
4,3,29,colshuf,0.2301795043172855,-0.04347472782542652,-0.0005066959654433656,-0.24564770977163503
4,5,29,real,0.2382417852422882,0.04631849783051129,0.00604644894246704,-0.05686557825217286
4,5,29,permC,0.23844090619353625,0.04660034555769449,0.0005830437905744815,-0.05654811346557397
4,5,29,margin,0.26048420483524937,0.048844315945217376,-0.00010250293534037427,-0.277176730481128
4,5,29,rowshuf,-0.00161941047004166,-0.004923837488182443,-0.0034339609886119282,-0.44977876213440193
4,5,29,colshuf,0.2417402257779671,-0.03945350712265068,-0.0017963900390934224,-0.29322816284058356
4,8,29,real,0.24614357698024744,0.050647863790925146,0.007230216008360296,-0.05543759891737557
4,8,29,permC,0.2465040183282698,0.0500702129849824,-0.00013632353055464952,-0.05412062998888183
4,8,29,margin,0.2672230371514187,0.05198563575814569,0.0010780893033440948,-0.15153509140556293
