world,q,sub,Kc,seed,arm,C,m
real,8,2,5,11,real,-0.002451330107831051,10
real,8,2,5,11,perm,-0.0019193338098419943,10
real,8,2,5,29,real,-0.0007402103334529508,10
real,8,2,5,29,perm,-0.0032491591066783343,10
real,8,2,8,11,real,-0.003021729088623526,10
real,8,2,8,11,perm,-0.002483419892365335,10
real,8,2,8,29,real,7.909154021712439e-06,10
real,8,2,8,29,perm,-0.0043132165692268964,10
real,13,0,1,11,real,-0.0003741594341873933,19
real,13,0,1,11,perm,-0.00010305785822428692,19
real,13,0,1,29,real,-0.00011261936473294654,19
real,13,0,1,29,perm,9.758200472964607e-05,19
real,13,0,2,11,real,-0.0005719541789749316,19
real,13,0,2,11,perm,-8.909294798853384e-05,19
real,13,0,2,29,real,4.863319334758032e-05,19
real,13,0,2,29,perm,0.00011833885884304784,19
real,13,0,3,11,real,-0.0005226002852715128,19
real,13,0,3,11,perm,-0.00010352674826707986,19
real,13,0,3,29,real,-2.2327742154382157e-05,19
real,13,0,3,29,perm,3.947928667291656e-05,19
real,13,0,5,11,real,-0.0007249456277880206,19
real,13,0,5,11,perm,-0.0002870727459435285,19
real,13,0,5,29,real,-1.3444579184174188e-05,19
real,13,0,5,29,perm,-5.748636228686266e-05,19
real,13,0,8,11,real,0.0002064130449551671,19
real,13,0,8,11,perm,-0.0005092070613014199,19
real,13,0,8,29,real,0.0012920524602180183,19
real,13,0,8,29,perm,-0.00016856291445155325,19
real,13,0,12,11,real,0.0009502879976053258,19
real,13,0,12,11,perm,-0.0007943751487361483,19
real,13,0,12,29,real,0.0023482082450452246,19
real,13,0,12,29,perm,-0.0004304469651769116,19
real,13,0,16,11,real,0.0009621541295474767,19
real,13,0,16,11,perm,-0.0011953310720718147,19
real,13,0,16,29,real,0.00246394330928279,19
real,13,0,16,29,perm,-0.0006080475120882056,19
real,13,1,1,11,real,0.0008243507927541138,19
real,13,1,1,11,perm,-7.235824347906483e-05,19
real,13,1,1,29,real,0.0013541195800793604,19
real,13,1,1,29,perm,-0.000178555024053062,19
real,13,1,2,11,real,0.0016519002878367939,19
real,13,1,2,11,perm,-0.00018767707576372583,19
real,13,1,2,29,real,0.001784412545442593,19
real,13,1,2,29,perm,-0.00029595838262552743,19
real,13,1,3,11,real,0.002005543732734316,19
real,13,1,3,11,perm,-0.0002941126529421023,19
real,13,1,3,29,real,0.0020719207966014563,19
real,13,1,3,29,perm,-0.00040450590918572615,19
real,13,1,5,11,real,0.0031127040514244975,19
real,13,1,5,11,perm,-0.0003949765856844367,19
real,13,1,5,29,real,0.00331685302285345,19
real,13,1,5,29,perm,-0.000521528901880064,19
real,13,1,8,11,real,0.004031474665825874,19
real,13,1,8,11,perm,-0.0008111192912002574,19
real,13,1,8,29,real,0.004319122659922625,19
real,13,1,8,29,perm,-0.0006435058895767343,19
real,13,1,12,11,real,0.004980692293601319,19
real,13,1,12,11,perm,-0.001214202663030406,19
real,13,1,12,29,real,0.005529685220690861,19
real,13,1,12,29,perm,-0.0004133973044998518,19
real,13,1,16,11,real,0.0048903383929054245,19
real,13,1,16,11,perm,-0.0011748236913415866,19
real,13,1,16,29,real,0.0054308174123016695,19
real,13,1,16,29,perm,-0.00036806504599273815,19
real,13,2,1,11,real,0.00016211502713658899,19
real,13,2,1,11,perm,-0.00020161323242740004,19
real,13,2,1,29,real,-0.0001134230675146064,19
real,13,2,1,29,perm,-0.0001040811867646374,19
real,13,2,2,11,real,0.0002631204233217721,19
real,13,2,2,11,perm,-0.00025756815665878285,19
real,13,2,2,29,real,-9.610089934619648e-05,19
real,13,2,2,29,perm,-0.00016162073705427993,19
real,13,2,3,11,real,0.0009924389233615383,19
real,13,2,3,11,perm,-0.0003804602908030752,19
real,13,2,3,29,real,0.00036907758757875886,19
real,13,2,3,29,perm,-0.00017312457402218762,19
real,13,2,5,11,real,0.001063677215388914,19
real,13,2,5,11,perm,-0.0004288157133116588,19
real,13,2,5,29,real,0.0004831693980615892,19
real,13,2,5,29,perm,-0.00026521010589986016,19
real,13,2,8,11,real,0.0014824453323341036,19
real,13,2,8,11,perm,-0.0007981012861468795,19
real,13,2,8,29,real,0.001107237735067934,19
real,13,2,8,29,perm,-0.0002878866935397406,19
real,13,2,12,11,real,0.0011676192056128132,19
real,13,2,12,11,perm,-0.0010590886957781986,19
real,13,2,12,29,real,0.0010771112715887154,19
real,13,2,12,29,perm,-0.000572575134306974,19
real,13,2,16,11,real,0.0011179645001584415,19
real,13,2,16,11,perm,-0.0012894639861306123,19
real,13,2,16,29,real,0.0016690693103483811,19
real,13,2,16,29,perm,-0.0005463610804974373,19
real,17,0,1,11,real,-0.002648687524032578,10
real,17,0,1,11,perm,9.531456680256234e-05,10
real,17,0,1,29,real,0.0019006700589148107,10
real,17,0,1,29,perm,0.00034100478777865373,10
real,17,0,2,11,real,-0.0029689143911756366,10
real,17,0,2,11,perm,-2.2598714765620365e-05,10
real,17,0,2,29,real,0.0010746549076987577,10
real,17,0,2,29,perm,-0.0016411530897317839,10
real,17,0,3,11,real,-0.004210877514218669,10
real,17,0,3,11,perm,-0.0010843216466223105,10
real,17,0,3,29,real,0.0003579871474550522,10
real,17,0,3,29,perm,-0.0017490628380910644,10
real,17,0,5,11,real,-0.003015502047757246,10
real,17,0,5,11,perm,-0.002464908655327891,10
real,17,0,5,29,real,0.00012050941151420247,10
real,17,0,5,29,perm,-0.0006733518485366741,10
real,17,0,8,11,real,-0.0032927365299113553,10
real,17,0,8,11,perm,-0.002543510099266677,10
real,17,0,8,29,real,0.002190776908521652,10
real,17,0,8,29,perm,0.0012798363993954398,10
real,17,1,1,11,real,-0.002403181314482139,10
real,17,1,1,11,perm,-0.0010230289510367863,10
real,17,1,1,29,real,-0.0006580886488986026,10
real,17,1,1,29,perm,-0.001261702917795704,10
real,17,1,2,11,real,-0.001531069425586673,10
real,17,1,2,11,perm,-0.0022051347449025815,10
real,17,1,2,29,real,-0.0012811453164565112,10
real,17,1,2,29,perm,-0.0011242001222731002,10
real,17,1,3,11,real,0.001983988531091052,10
real,17,1,3,11,perm,-0.002354540947598127,10
real,17,1,3,29,real,0.00718612747521663,10
real,17,1,3,29,perm,-0.000605322530201513,10
real,17,1,5,11,real,0.0018360578788789716,10
real,17,1,5,11,perm,-0.002208311272683061,10
real,17,1,5,29,real,0.004161310816188313,10
real,17,1,5,29,perm,-0.00032411997774284274,10
real,17,1,8,11,real,0.0018327123388550692,10
real,17,1,8,11,perm,-0.004069448276010412,10
real,17,1,8,29,real,0.005847966054629339,10
real,17,1,8,29,perm,-0.0007938961211004791,10
real,17,2,1,11,real,0.00014157531769765086,10
real,17,2,1,11,perm,-0.0031502855464374813,10
real,17,2,1,29,real,-0.0012364391260647478,10
real,17,2,1,29,perm,-0.0008095935576211133,10
real,17,2,2,11,real,0.0008366179851810873,10
real,17,2,2,11,perm,-0.003705313079957695,10
real,17,2,2,29,real,-0.0028407147904477847,10
real,17,2,2,29,perm,-8.208699170964007e-05,10
real,17,2,3,11,real,0.000841786847830206,10
real,17,2,3,11,perm,-0.00492723624392466,10
real,17,2,3,29,real,-0.002174662606377664,10
real,17,2,3,29,perm,-0.0010758127090688685,10
real,17,2,5,11,real,0.0041560058928512555,10
real,17,2,5,11,perm,-0.004390792112313635,10
real,17,2,5,29,real,0.0018422086020175588,10
real,17,2,5,29,perm,-0.002506540667852386,10
real,17,2,8,11,real,0.0037408025192446903,10
real,17,2,8,11,perm,-0.0003074471685931002,10
real,17,2,8,29,real,0.0029460022161247323,10
real,17,2,8,29,perm,-0.004438649176057852,10
real,19,0,1,11,real,-5.8739226532766864e-05,19
real,19,0,1,11,perm,-7.104696372817187e-05,19
real,19,0,1,29,real,0.0005573741068810589,19
real,19,0,1,29,perm,-0.00018178827367176797,19
real,19,0,2,11,real,0.0007175253401421333,19
real,19,0,2,11,perm,-0.0005193908747946896,19
real,19,0,2,29,real,0.001150505176501171,19
real,19,0,2,29,perm,-0.0004500609292766855,19
