q,mode,arm,seed,C
90,both,perm,11,-0.0005011705726418736
90,both,real,29,0.00071842769622954
90,both,perm,29,-0.0017451828933101599
90,both,real,47,-0.0007452387969012486
90,both,perm,47,-0.0012229457648338382
92,none,real,11,0.035044165250434745
92,none,perm,11,-0.0008426711934667042
92,none,real,29,0.031394263632011477
92,none,perm,29,-0.001254144448412986
92,none,real,47,0.03451510553724246
92,none,perm,47,0.00015219336150140705
92,gate,real,11,0.020492424493673056
92,gate,perm,11,-0.0007534260531174564
92,gate,real,29,0.016129021522203857
92,gate,perm,29,-0.0014179042739584924
92,gate,real,47,0.019981663813157136
92,gate,perm,47,0.0007374550978967997
92,demo,real,11,0.030073516192949623
92,demo,perm,11,-0.0009181500693323796
92,demo,real,29,0.027139202289327424
92,demo,perm,29,-0.0012396750135809098
92,demo,real,47,0.030695227723635088
92,demo,perm,47,-0.0003522893660468096
92,both,real,11,0.01868495976544715
92,both,perm,11,-0.000766020894238717
92,both,real,29,0.014905759156390919
92,both,perm,29,-0.0014337772087252842
92,both,real,47,0.0189614423852148
92,both,perm,47,0.00044334232149012553
93,none,real,11,0.05242124003090021
93,none,perm,11,-0.0011609304652137054
93,none,real,29,0.05393411902351697
93,none,perm,29,-0.0024495779632448533
93,none,real,47,0.058969769400308736
93,none,perm,47,-0.0027430888966963884
93,gate,real,11,0.03426016251356656
93,gate,perm,11,-0.0012464245403897012
93,gate,real,29,0.0383207164176238
93,gate,perm,29,-0.00227766892305159
93,gate,real,47,0.04296304068447143
93,gate,perm,47,-0.0026976166287063785
93,demo,real,11,0.03992493508112682
93,demo,perm,11,-0.0010056705798585641
93,demo,real,29,0.041998105132164176
93,demo,perm,29,-0.002385602067734638
93,demo,real,47,0.04454009808810688
93,demo,perm,47,-0.0030077869454556705
93,both,real,11,0.029106924332745754
93,both,perm,11,-0.0011756564844728201
93,both,real,29,0.03227439422133127
93,both,perm,29,-0.0024605267480487525
93,both,real,47,0.03579887261473291
93,both,perm,47,-0.002943430113015899
